"geo","time","mean_years_in_school_men_55_to_64_years"
"ken",1982,2.33
"ken",1983,2.4
"ken",1984,2.48
"ken",1985,2.57
"ken",1986,2.65
"ken",1987,2.74
"ken",1988,2.83
"ken",1989,2.93
"ken",1990,3.03
"ken",1991,3.13
"ken",1992,3.24
"ken",1993,3.35
"ken",1994,3.47
"ken",1995,3.59
"ken",1996,3.7
"ken",1997,3.81
"ken",1998,3.92
"ken",1999,4.03
"ken",2000,4.14
"ken",2001,4.25
"ken",2002,4.37
"ken",2003,4.48
"ken",2004,4.59
"ken",2005,4.7
"ken",2006,4.82
"ken",2007,4.93
"ken",2008,5.04
"ken",2009,5.15
"ken",2010,5.27
"ken",2011,5.38
"ken",2012,5.49
"ken",2013,5.6
"ken",2014,5.72
"ken",2015,5.83
"rwa",1970,0.91
"rwa",1971,0.94
"rwa",1972,0.97
"rwa",1973,1
"rwa",1974,1.03
"rwa",1975,1.06
"rwa",1976,1.1
"rwa",1977,1.13
"rwa",1978,1.17
"rwa",1979,1.2
"rwa",1980,1.24
"rwa",1981,1.28
"rwa",1982,1.32
"rwa",1983,1.36
"rwa",1984,1.41
"rwa",1985,1.45
"rwa",1986,1.5
"rwa",1987,1.55
"rwa",1988,1.6
"rwa",1989,1.65
"rwa",1990,1.71
"rwa",1991,1.76
"rwa",1992,1.82
"rwa",1993,1.88
"rwa",1994,1.95
"rwa",1995,2.01
"rwa",1996,2.08
"rwa",1997,2.14
"rwa",1998,2.21
"rwa",1999,2.27
"rwa",2000,2.34
"rwa",2001,2.41
"rwa",2002,2.47
"rwa",2003,2.54
"rwa",2004,2.61
"rwa",2005,2.68
"rwa",2006,2.75
"rwa",2007,2.83
"rwa",2008,2.9
"rwa",2009,2.97
"rwa",2010,3.05
"rwa",2011,3.13
"rwa",2012,3.2
"rwa",2013,3.28
"rwa",2014,3.36
"rwa",2015,3.44
"ssd",1970,0.43
"ssd",1971,0.44
"ssd",1972,0.45
"ssd",1973,0.46
"ssd",1974,0.48
"ssd",1975,0.49
"ssd",1976,0.5
"ssd",1977,0.52
"ssd",1978,0.53
"ssd",1979,0.55
"ssd",1980,0.56
"ssd",1981,0.58
"ssd",1982,0.59
"ssd",1983,0.61
"ssd",1984,0.63
"ssd",1985,0.65
"ssd",1986,0.66
"ssd",1987,0.68
"ssd",1988,0.7
"ssd",1989,0.72
"ssd",1990,0.74
"ssd",1991,0.76
"ssd",1992,0.78
"ssd",1993,0.8
"ssd",1994,0.82
"ssd",1995,0.85
"ssd",1996,0.87
"ssd",1997,0.89
"ssd",1998,0.92
"ssd",1999,0.94
"ssd",2000,0.97
"ssd",2001,0.99
"ssd",2002,1.02
"ssd",2003,1.05
"ssd",2004,1.08
"ssd",2005,1.1
"ssd",2006,1.13
"ssd",2007,1.16
"ssd",2008,1.2
"ssd",2009,1.23
"ssd",2010,1.26
"ssd",2011,1.29
"ssd",2012,1.33
"ssd",2013,1.36
"ssd",2014,1.4
"ssd",2015,1.44
"tza",1970,1.4
"tza",1971,1.43
"tza",1972,1.47
"tza",1973,1.51
"tza",1974,1.55
"tza",1975,1.6
"tza",1976,1.64
"tza",1977,1.68
"tza",1978,1.73
"tza",1979,1.78
"tza",1980,1.82
"tza",1981,1.87
"tza",1982,1.92
"tza",1983,1.98
"tza",1984,2.03
"tza",1985,2.08
"tza",1986,2.14
"tza",1987,2.2
"tza",1988,2.26
"tza",1989,2.32
"tza",1990,2.38
"tza",1991,2.44
"tza",1992,2.51
"tza",1993,2.58
"tza",1994,2.65
"tza",1995,2.72
"tza",1996,2.79
"tza",1997,2.87
"tza",1998,2.95
"tza",1999,3.03
"tza",2000,3.11
"tza",2001,3.19
"tza",2002,3.27
"tza",2003,3.35
"tza",2004,3.44
"tza",2005,3.53
"tza",2006,3.61
"tza",2007,3.7
"tza",2008,3.79
"tza",2009,3.88
"tza",2010,3.98
"tza",2011,4.07
"tza",2012,4.16
"tza",2013,4.26
"tza",2014,4.36
"tza",2015,4.46
"uga",1970,1.83
"uga",1971,1.87
"uga",1972,1.93
"uga",1973,1.98
"uga",1974,2.03
"uga",1975,2.09
"uga",1976,2.14
"uga",1977,2.2
"uga",1978,2.26
"uga",1979,2.32
"uga",1980,2.39
"uga",1981,2.45
"uga",1982,2.52
"uga",1983,2.59
"uga",1984,2.66
"uga",1985,2.73
"uga",1986,2.8
"uga",1987,2.88
"uga",1988,2.96
"uga",1989,3.04
"uga",1990,3.12
"uga",1991,3.21
"uga",1992,3.29
"uga",1993,3.38
"uga",1994,3.47
"uga",1995,3.57
"uga",1996,3.67
"uga",1997,3.77
"uga",1998,3.87
"uga",1999,3.97
"uga",2000,4.08
"uga",2001,4.18
"uga",2002,4.29
"uga",2003,4.4
"uga",2004,4.5
"uga",2005,4.61
"uga",2006,4.72
"uga",2007,4.83
"uga",2008,4.95
"uga",2009,5.06
"uga",2010,5.17
"uga",2011,5.28
"uga",2012,5.4
"uga",2013,5.51
"uga",2014,5.63
"uga",2015,5.74
