"geo","time","females_aged_15plus_labour_force_participation_rate_percent"
"tza",2001,81.704
"tza",2002,81.722
"tza",2003,81.752
"tza",2004,81.788
"tza",2005,81.819
"tza",2006,81.841
"tza",2007,81.858
"tza",2008,81.86
"tza",2009,81.873
"tza",2010,81.906
"tza",2011,81.98
"tza",2012,81.359
"tza",2013,80.552
"tza",2014,79.532
"tza",2015,79.535
"tza",2016,79.529
"tza",2017,79.46
"tza",2018,79.386
"tza",2019,79.315
"tza",2020,79.25
"tza",2021,79.191
"tza",2022,79.136
"tza",2023,79.083
"tza",2024,79.028
"tza",2025,78.97
"tza",2026,78.911
"tza",2027,78.852
"tza",2028,78.791
"tza",2029,78.729
"tza",2030,78.667
"uga",1990,62.469
"uga",1991,62.48
"uga",1992,62.659
"uga",1993,62.839
"uga",1994,63.022
"uga",1995,63.206
"uga",1996,63.365
"uga",1997,63.522
"uga",1998,63.682
"uga",1999,63.848
"uga",2000,64.024
"uga",2001,64.207
"uga",2002,64.397
"uga",2003,64.59
"uga",2004,64.78
"uga",2005,64.964
"uga",2006,65.151
"uga",2007,65.33
"uga",2008,65.506
"uga",2009,65.687
"uga",2010,65.876
"uga",2011,66.08
"uga",2012,66.29
"uga",2013,66.33
"uga",2014,66.378
"uga",2015,66.42
"uga",2016,66.454
"uga",2017,66.579
"uga",2018,66.703
"uga",2019,66.833
"uga",2020,66.969
"uga",2021,67.106
"uga",2022,67.247
"uga",2023,67.393
"uga",2024,67.545
"uga",2025,67.701
"uga",2026,67.86
"uga",2027,68.023
"uga",2028,68.187
"uga",2029,68.35
"uga",2030,68.51
