"geo","time","total_reserves_percent_of_debt_to_foreigners"
"cod",2004,2.04801
"cod",2005,1.22678
"cod",2006,1.36284
"cod",2007,1.44893
"cod",2008,0.63166
"cod",2009,7.90229
"cod",2010,21.1484
"cod",2011,23.0136
"cod",2012,29.02845
"cod",2013,27.17254
"cod",2014,28.19152
"cod",2015,22.56675
"cod",2016,13.94858
"ken",1971,34.33375
"ken",1972,34.75698
"ken",1973,27.58892
"ken",1974,16.768
"ken",1975,13.43999
"ken",1976,18.4502
"ken",1977,31.6951
"ken",1978,16.96758
"ken",1979,24.56988
"ken",1980,15.9062
"ken",1981,8.14172
"ken",1982,7.36687
"ken",1983,11.20167
"ken",1984,11.80086
"ken",1985,9.96627
"ken",1986,9.6554
"ken",1987,5.09021
"ken",1988,5.10278
"ken",1989,5.37633
"ken",1990,3.3467
"ken",1991,1.94725
"ken",1992,1.15319
"ken",1993,6.14139
"ken",1994,8.25531
"ken",1995,5.25726
"ken",1996,11.3877
"ken",1997,12.54587
"ken",1998,11.47407
"ken",1999,12.12964
"ken",2000,14.60361
"ken",2001,19.37651
"ken",2002,17.51912
"ken",2003,22.06687
"ken",2004,21.97006
"ken",2005,27.73472
"ken",2006,36.15842
"ken",2007,44.51082
"ken",2008,37.58736
"ken",2009,45.02736
"ken",2010,48.83667
"ken",2011,41.9685
"ken",2012,48.02383
"ken",2013,47.69344
"ken",2014,46.62079
"ken",2015,38.1928
"ken",2016,34.04505
"rwa",1971,289.21802
"rwa",1972,188.34012
"rwa",1973,191.82991
"rwa",1974,106.47193
"rwa",1975,103.49768
"rwa",1976,130.25807
"rwa",1977,96.09799
"rwa",1978,74.89289
"rwa",1979,105.78432
"rwa",1980,103.28959
"rwa",1981,85.31552
"rwa",1982,54.56541
"rwa",1983,46.27828
"rwa",1984,36.70994
"rwa",1985,30.99309
"rwa",1986,36.04489
"rwa",1987,27.33176
"rwa",1988,18.18172
"rwa",1989,11.23418
"rwa",1990,6.25436
"rwa",1991,13.6081
"rwa",1992,9.1753
"rwa",1993,5.21526
"rwa",1994,5.37543
"rwa",1995,9.59769
"rwa",1996,10.21135
"rwa",1997,13.77934
"rwa",1998,13.74354
"rwa",1999,13.27808
"rwa",2000,14.7812
"rwa",2001,16.32813
"rwa",2002,16.78531
"rwa",2003,13.80651
"rwa",2004,18.83261
"rwa",2005,26.58139
"rwa",2006,101.40715
"rwa",2007,89.27262
"rwa",2008,86.55446
"rwa",2009,86.22774
"rwa",2010,89.67692
"rwa",2011,86.3727
"rwa",2012,67.15043
"rwa",2013,63.20975
"rwa",2014,52.72207
"rwa",2015,45.96121
"rwa",2016,39.66078
"tza",1971,5.12493
"tza",1972,8.56858
"tza",1973,8.29686
"tza",1974,2.49648
"tza",1975,2.7946
"tza",1976,4.1549
"tza",1977,8.12048
"tza",1978,2.28563
"tza",1979,1.61847
"tza",1980,0.38726
"tza",1981,0.3269
"tza",1982,0.07861
"tza",1983,0.28544
"tza",1984,0.37504
"tza",1985,0.1759
"tza",1986,1.24733
"tza",1987,0.57781
"tza",1988,1.29341
"tza",1989,0.92689
"tza",1990,2.99811
"tza",1991,3.11007
"tza",1992,4.9103
"tza",1993,3.00532
"tza",1994,4.59589
"tza",1995,4.06083
"tza",1996,6.37184
"tza",1997,9.06376
"tza",1998,8.27261
"tza",1999,10.08454
"tza",2000,13.84383
"tza",2001,18.08735
"tza",2002,21.76008
"tza",2003,27.89986
"tza",2004,26.61077
"tza",2005,24.39007
"tza",2006,55.15764
"tza",2007,57.3893
"tza",2008,47.63671
"tza",2009,45.15615
"tza",2010,43.90655
"tza",2011,37.21367
"tza",2012,34.96892
"tza",2013,35.56607
"tza",2014,30.59011
"tza",2015,26.269
"uga",1971,15.62051
"uga",1972,20.23072
"uga",1973,16.58574
"uga",1974,8.29353
"uga",1975,14.82828
"uga",1976,18.25958
"uga",1977,15.69576
"uga",1978,12.3467
"uga",1979,3.88239
"uga",1980,0.43446
"uga",1981,4.24263
"uga",1982,8.95743
"uga",1983,10.55417
"uga",1984,6.32138
"uga",1985,2.20323
"uga",1986,2.05253
"uga",1987,2.82083
"uga",1988,2.54024
"uga",1989,0.64203
"uga",1990,1.68799
"uga",1991,2.10158
"uga",1992,3.19922
"uga",1993,4.79411
"uga",1994,9.45875
"uga",1995,12.71486
"uga",1996,14.24089
"uga",1997,16.21039
"uga",1998,18.40191
"uga",1999,21.56952
"uga",2000,22.8574
"uga",2001,26.09604
"uga",2002,23.23517
"uga",2003,23.59524
"uga",2004,27.30829
"uga",2005,30.13084
"uga",2006,139.22078
"uga",2007,154.85123
"uga",2008,100.33506
"uga",2009,108.37016
"uga",2010,90.97039
"uga",2011,80.22637
"uga",2012,83.8012
"uga",2013,38.19063
"uga",2014,37.04476
"uga",2015,29.30781
