"geo","time","alternative_gdp_per_capita_ppp_pwt_8_0"
"uga",1982,623.7
"uga",1983,677.9
"uga",1984,659.4
"uga",1985,614.6
"uga",1986,604.4
"uga",1987,625.9
"uga",1988,621.8
"uga",1989,620.1
"uga",1990,625.4
"uga",1991,616.9
"uga",1992,623.6
"uga",1993,635.7
"uga",1994,807
"uga",1995,793.9
"uga",1996,778.6
"uga",1997,795.9
"uga",1998,842.2
"uga",1999,851.5
"uga",2000,851.3
"uga",2001,884.5
"uga",2002,908
"uga",2003,916.6
"uga",2004,940.5
"uga",2005,994.8
"uga",2006,1023
"uga",2007,1054
"uga",2008,1078
"uga",2009,1163
"uga",2010,1175
"uga",2011,1187
