"geo","time","mean_years_in_school_women_55_to_64_years"
"cod",2015,2.48
"ken",1970,0.41
"ken",1971,0.42
"ken",1972,0.44
"ken",1973,0.46
"ken",1974,0.47
"ken",1975,0.49
"ken",1976,0.51
"ken",1977,0.53
"ken",1978,0.56
"ken",1979,0.58
"ken",1980,0.6
"ken",1981,0.63
"ken",1982,0.66
"ken",1983,0.68
"ken",1984,0.71
"ken",1985,0.74
"ken",1986,0.78
"ken",1987,0.81
"ken",1988,0.85
"ken",1989,0.88
"ken",1990,0.92
"ken",1991,0.97
"ken",1992,1.01
"ken",1993,1.06
"ken",1994,1.11
"ken",1995,1.16
"ken",1996,1.21
"ken",1997,1.27
"ken",1998,1.32
"ken",1999,1.38
"ken",2000,1.43
"ken",2001,1.49
"ken",2002,1.55
"ken",2003,1.61
"ken",2004,1.67
"ken",2005,1.74
"ken",2006,1.8
"ken",2007,1.87
"ken",2008,1.93
"ken",2009,2
"ken",2010,2.07
"ken",2011,2.13
"ken",2012,2.2
"ken",2013,2.27
"ken",2014,2.34
"ken",2015,2.41
"rwa",1970,0.18
"rwa",1971,0.19
"rwa",1972,0.19
"rwa",1973,0.2
"rwa",1974,0.21
"rwa",1975,0.22
"rwa",1976,0.23
"rwa",1977,0.24
"rwa",1978,0.25
"rwa",1979,0.26
"rwa",1980,0.27
"rwa",1981,0.28
"rwa",1982,0.3
"rwa",1983,0.31
"rwa",1984,0.32
"rwa",1985,0.34
"rwa",1986,0.36
"rwa",1987,0.37
"rwa",1988,0.39
"rwa",1989,0.41
"rwa",1990,0.43
"rwa",1991,0.45
"rwa",1992,0.48
"rwa",1993,0.5
"rwa",1994,0.53
"rwa",1995,0.56
"rwa",1996,0.58
"rwa",1997,0.61
"rwa",1998,0.64
"rwa",1999,0.67
"rwa",2000,0.7
"rwa",2001,0.73
"rwa",2002,0.77
"rwa",2003,0.8
"rwa",2004,0.83
"rwa",2005,0.87
"rwa",2006,0.9
"rwa",2007,0.94
"rwa",2008,0.98
"rwa",2009,1.01
"rwa",2010,1.05
"rwa",2011,1.09
"rwa",2012,1.13
"rwa",2013,1.17
"rwa",2014,1.21
"rwa",2015,1.25
"ssd",1970,0.06
"ssd",1971,0.06
"ssd",1972,0.06
"ssd",1973,0.06
"ssd",1974,0.06
"ssd",1975,0.07
"ssd",1976,0.07
"ssd",1977,0.07
"ssd",1978,0.07
"ssd",1979,0.08
"ssd",1980,0.08
"ssd",1981,0.08
"ssd",1982,0.08
"ssd",1983,0.09
"ssd",1984,0.09
"ssd",1985,0.09
"ssd",1986,0.1
"ssd",1987,0.1
"ssd",1988,0.1
"ssd",1989,0.11
"ssd",1990,0.11
"ssd",1991,0.11
"ssd",1992,0.12
"ssd",1993,0.12
"ssd",1994,0.12
"ssd",1995,0.13
"ssd",1996,0.13
"ssd",1997,0.14
"ssd",1998,0.14
"ssd",1999,0.15
"ssd",2000,0.15
"ssd",2001,0.16
"ssd",2002,0.16
"ssd",2003,0.17
"ssd",2004,0.17
"ssd",2005,0.18
"ssd",2006,0.18
"ssd",2007,0.19
"ssd",2008,0.2
"ssd",2009,0.2
"ssd",2010,0.21
"ssd",2011,0.22
"ssd",2012,0.23
"ssd",2013,0.23
"ssd",2014,0.24
"ssd",2015,0.25
"tza",1970,0.33
"tza",1971,0.35
"tza",1972,0.36
"tza",1973,0.37
"tza",1974,0.38
"tza",1975,0.4
"tza",1976,0.41
"tza",1977,0.43
"tza",1978,0.44
"tza",1979,0.46
"tza",1980,0.48
"tza",1981,0.5
"tza",1982,0.52
"tza",1983,0.53
"tza",1984,0.55
"tza",1985,0.58
"tza",1986,0.6
"tza",1987,0.62
"tza",1988,0.65
"tza",1989,0.67
"tza",1990,0.7
"tza",1991,0.72
"tza",1992,0.75
"tza",1993,0.78
"tza",1994,0.81
"tza",1995,0.85
"tza",1996,0.88
"tza",1997,0.92
"tza",1998,0.96
"tza",1999,1
"tza",2000,1.04
"tza",2001,1.08
"tza",2002,1.12
"tza",2003,1.16
"tza",2004,1.21
"tza",2005,1.25
"tza",2006,1.3
"tza",2007,1.34
"tza",2008,1.39
"tza",2009,1.44
"tza",2010,1.49
"tza",2011,1.54
"tza",2012,1.59
"tza",2013,1.64
"tza",2014,1.7
"tza",2015,1.75
"uga",1970,0.43
"uga",1971,0.44
"uga",1972,0.46
"uga",1973,0.48
"uga",1974,0.49
"uga",1975,0.51
"uga",1976,0.53
"uga",1977,0.55
"uga",1978,0.57
"uga",1979,0.59
"uga",1980,0.61
"uga",1981,0.63
"uga",1982,0.66
"uga",1983,0.68
"uga",1984,0.71
"uga",1985,0.73
"uga",1986,0.76
"uga",1987,0.79
"uga",1988,0.82
"uga",1989,0.85
"uga",1990,0.88
"uga",1991,0.91
"uga",1992,0.95
"uga",1993,0.98
"uga",1994,1.02
"uga",1995,1.06
"uga",1996,1.11
"uga",1997,1.15
"uga",1998,1.2
"uga",1999,1.24
"uga",2000,1.29
"uga",2001,1.34
"uga",2002,1.39
"uga",2003,1.44
"uga",2004,1.5
"uga",2005,1.55
"uga",2006,1.61
"uga",2007,1.66
"uga",2008,1.72
"uga",2009,1.78
"uga",2010,1.84
"uga",2011,1.9
"uga",2012,1.97
"uga",2013,2.03
"uga",2014,2.09
"uga",2015,2.16
