"geo","time","alternative_gdp_per_capita_ppp_pwt_7_1"
"rwa",1992,817.5
"rwa",1993,681.4
"rwa",1994,335.4
"rwa",1995,616.2
"rwa",1996,619.6
"rwa",1997,568.5
"rwa",1998,591.7
"rwa",1999,618.1
"rwa",2000,632.5
"rwa",2001,663.2
"rwa",2002,732.1
"rwa",2003,734.8
"rwa",2004,766
"rwa",2005,813.9
"rwa",2006,862.3
"rwa",2007,887.7
"rwa",2008,944.9
"rwa",2009,981.2
"rwa",2010,1025
"tza",1960,388.1
"tza",1961,387
"tza",1962,403.9
"tza",1963,405.8
"tza",1964,476.6
"tza",1965,488.3
"tza",1966,510.7
"tza",1967,540.8
"tza",1968,570.4
"tza",1969,555.8
"tza",1970,611.9
"tza",1971,636.5
"tza",1972,646.3
"tza",1973,626.4
"tza",1974,635
"tza",1975,654.7
"tza",1976,640
"tza",1977,642.4
"tza",1978,658.9
"tza",1979,661.3
"tza",1980,664.5
"tza",1981,594.4
"tza",1982,580.9
"tza",1983,564.1
"tza",1984,554.9
"tza",1985,561.6
"tza",1986,600.3
"tza",1987,635.2
"tza",1988,686.8
"tza",1989,694.1
"tza",1990,745
"tza",1991,751.1
"tza",1992,730.9
"tza",1993,712.6
"tza",1994,683.9
"tza",1995,671.7
"tza",1996,664.3
"tza",1997,669.5
"tza",1998,694.4
"tza",1999,710
"tza",2000,724.6
"tza",2001,751.7
"tza",2002,790.2
"tza",2003,833.9
"tza",2004,882.2
"tza",2005,931.8
"tza",2006,975
"tza",2007,1028
"tza",2008,1085
"tza",2009,1128
"tza",2010,1178
"uga",1950,657.1
"uga",1951,729.5
"uga",1952,757.5
"uga",1953,696.5
"uga",1954,655
"uga",1955,666
"uga",1956,693.4
"uga",1957,707.6
"uga",1958,657.5
"uga",1959,675.3
"uga",1960,658.8
"uga",1961,637.5
"uga",1962,666.9
"uga",1963,693.8
"uga",1964,712.5
"uga",1965,717.4
"uga",1966,754.4
"uga",1967,774.8
"uga",1968,781.2
"uga",1969,823.2
"uga",1970,809.5
"uga",1971,809.6
"uga",1972,792.5
"uga",1973,777
"uga",1974,759.4
"uga",1975,729.9
"uga",1976,711.1
"uga",1977,702.6
"uga",1978,655.7
"uga",1979,560.9
"uga",1980,535.8
"uga",1981,528
"uga",1982,559.8
"uga",1983,581.2
"uga",1984,563.2
"uga",1985,530.1
"uga",1986,522.4
"uga",1987,521.6
"uga",1988,528.8
"uga",1989,545.5
"uga",1990,568.9
"uga",1991,582.5
"uga",1992,582.7
"uga",1993,608.5
"uga",1994,725
"uga",1995,706.6
"uga",1996,739.3
"uga",1997,765.3
"uga",1998,791.3
"uga",1999,830.2
"uga",2000,843.5
"uga",2001,860.9
"uga",2002,884.4
"uga",2003,902.5
"uga",2004,917.4
"uga",2005,963.9
"uga",2006,993
"uga",2007,1024
"uga",2008,1093
"uga",2009,1106
"uga",2010,1102
