"geo","time","children_per_woman_total_fertility"
"ken",1876,6.91
"ken",1877,6.91
"ken",1878,6.91
"ken",1879,6.91
"ken",1880,6.91
"ken",1881,6.91
"ken",1882,6.91
"ken",1883,6.91
"ken",1884,6.91
"ken",1885,6.91
"ken",1886,6.91
"ken",1887,6.91
"ken",1888,6.91
"ken",1889,6.91
"ken",1890,6.91
"ken",1891,6.91
"ken",1892,6.91
"ken",1893,6.91
"ken",1894,6.91
"ken",1895,6.91
"ken",1896,6.91
"ken",1897,6.91
"ken",1898,6.91
"ken",1899,6.91
"ken",1900,6.91
"ken",1901,6.91
"ken",1902,6.91
"ken",1903,6.91
"ken",1904,6.91
"ken",1905,6.91
"ken",1906,6.91
"ken",1907,6.91
"ken",1908,6.91
"ken",1909,6.91
"ken",1910,6.91
"ken",1911,6.91
"ken",1912,6.91
"ken",1913,6.91
"ken",1914,6.91
"ken",1915,6.91
"ken",1916,6.91
"ken",1917,6.91
"ken",1918,6.91
"ken",1919,6.91
"ken",1920,6.91
"ken",1921,6.91
"ken",1922,6.91
"ken",1923,6.91
"ken",1924,6.91
"ken",1925,6.91
"ken",1926,6.93
"ken",1927,6.94
"ken",1928,6.96
"ken",1929,6.98
"ken",1930,7
"ken",1931,7.02
"ken",1932,7.03
"ken",1933,7.05
"ken",1934,7.07
"ken",1935,7.09
"ken",1936,7.11
"ken",1937,7.12
"ken",1938,7.14
"ken",1939,7.16
"ken",1940,7.18
"ken",1941,7.2
"ken",1942,7.22
"ken",1943,7.23
"ken",1944,7.25
"ken",1945,7.27
"ken",1946,7.29
"ken",1947,7.31
"ken",1948,7.32
"ken",1949,7.34
"ken",1950,7.36
"ken",1951,7.39
"ken",1952,7.45
"ken",1953,7.51
"ken",1954,7.57
"ken",1955,7.64
"ken",1956,7.7
"ken",1957,7.76
"ken",1958,7.83
"ken",1959,7.89
"ken",1960,7.95
"ken",1961,8
"ken",1962,8.04
"ken",1963,8.08
"ken",1964,8.1
"ken",1965,8.12
"ken",1966,8.13
"ken",1967,8.13
"ken",1968,8.12
"ken",1969,8.1
"ken",1970,8.08
"ken",1971,8.05
"ken",1972,8.01
"ken",1973,7.96
"ken",1974,7.91
"ken",1975,7.84
"ken",1976,7.77
"ken",1977,7.7
"ken",1978,7.62
"ken",1979,7.54
"ken",1980,7.46
"ken",1981,7.37
"ken",1982,7.27
"ken",1983,7.16
"ken",1984,7.04
"ken",1985,6.91
"ken",1986,6.76
"ken",1987,6.6
"ken",1988,6.43
"ken",1989,6.24
"ken",1990,6.07
"ken",1991,5.9
"ken",1992,5.76
"ken",1993,5.63
"ken",1994,5.54
"ken",1995,5.46
"ken",1996,5.4
"ken",1997,5.35
"ken",1998,5.3
"ken",1999,5.24
"ken",2000,5.18
"ken",2001,5.11
"ken",2002,5.04
"ken",2003,4.98
"ken",2004,4.91
"ken",2005,4.84
"ken",2006,4.76
"ken",2007,4.68
"ken",2008,4.58
"ken",2009,4.48
"ken",2010,4.37
"ken",2011,4.27
"ken",2012,4.17
"ken",2013,4.07
"ken",2014,3.99
"ken",2015,3.92
"ken",2016,3.85
"ken",2017,3.79
"ken",2018,3.74
"rwa",1800,7.07
"rwa",1801,7.07
"rwa",1802,7.07
"rwa",1803,7.07
"rwa",1804,7.07
"rwa",1805,7.07
"rwa",1806,7.07
"rwa",1807,7.07
"rwa",1808,7.07
"rwa",1809,7.07
"rwa",1810,7.07
"rwa",1811,7.07
"rwa",1812,7.07
"rwa",1813,7.07
"rwa",1814,7.07
"rwa",1815,7.07
"rwa",1816,7.07
"rwa",1817,7.07
"rwa",1818,7.07
"rwa",1819,7.07
"rwa",1820,7.07
"rwa",1821,7.07
"rwa",1822,7.07
