"geo","time","under_five_mortality_from_ihme_per_1000_born"
"rwa",2003,170.3
"rwa",2004,169.1
"rwa",2005,168.1
"rwa",2006,167.1
"rwa",2007,166
"rwa",2008,165.1
"rwa",2009,164.1
"rwa",2010,163.1
"rwa",2011,162.2
"rwa",2012,161.2
"rwa",2013,160.3
"rwa",2014,159.4
"rwa",2015,158.4
"tza",1970,205.4
"tza",1971,202.1
"tza",1972,198.9
"tza",1973,195.7
"tza",1974,192.5
"tza",1975,189.4
"tza",1976,186.2
"tza",1977,183.1
"tza",1978,180.1
"tza",1979,177.1
"tza",1980,174.4
"tza",1981,171.8
"tza",1982,169.3
"tza",1983,167.2
"tza",1984,165.1
"tza",1985,163.5
"tza",1986,161.1
"tza",1987,159.1
"tza",1988,156.9
"tza",1989,154.8
"tza",1990,152.7
"tza",1991,150.5
"tza",1992,148.4
"tza",1993,146.4
"tza",1994,144.4
"tza",1995,142.4
"tza",1996,140.1
"tza",1997,137.1
"tza",1998,134.7
"tza",1999,132.7
"tza",2000,130.8
"tza",2001,128.9
"tza",2002,127
"tza",2003,125.1
"tza",2004,123.2
"tza",2005,121.3
"tza",2006,119.3
"tza",2007,117.4
"tza",2008,115.6
"tza",2009,113.7
"tza",2010,111.9
"tza",2011,110.1
"tza",2012,108.3
"tza",2013,106.6
"tza",2014,104.9
"tza",2015,103.2
"uga",1970,195.8
"uga",1971,193.8
"uga",1972,191.7
"uga",1973,189.7
"uga",1974,187.8
"uga",1975,186.1
"uga",1976,184.8
"uga",1977,184.1
"uga",1978,183
"uga",1979,181.4
"uga",1980,179.8
"uga",1981,178.3
"uga",1982,176.7
"uga",1983,175
"uga",1984,173.3
"uga",1985,171.5
"uga",1986,169.8
"uga",1987,167.9
"uga",1988,166
"uga",1989,164.3
"uga",1990,162.5
"uga",1991,160.7
"uga",1992,158.8
"uga",1993,156.9
"uga",1994,155.1
"uga",1995,153.2
"uga",1996,151.3
"uga",1997,149.5
"uga",1998,147.6
"uga",1999,145.7
"uga",2000,144.3
"uga",2001,142.6
"uga",2002,141
"uga",2003,139.3
"uga",2004,137.7
"uga",2005,135.9
"uga",2006,134.1
"uga",2007,132.5
"uga",2008,130.9
"uga",2009,129.4
"uga",2010,127.8
"uga",2011,126.3
"uga",2012,124.8
"uga",2013,123.1
"uga",2014,121.6
"uga",2015,120.1
