"geo","time","males_aged_15plus_labour_force_participation_rate_percent"
"uga",2016,74.879
"uga",2017,74.912
"uga",2018,74.944
"uga",2019,74.98
"uga",2020,75.022
"uga",2021,75.066
"uga",2022,75.113
"uga",2023,75.164
"uga",2024,75.221
"uga",2025,75.282
"uga",2026,75.346
"uga",2027,75.414
"uga",2028,75.482
"uga",2029,75.549
"uga",2030,75.614
