"geo","time","foreign_direct_investment_net_inflows_percent_of_gdp"
"rwa",1970,0.02729
"rwa",1971,0.76249
"rwa",1972,0.20287
"rwa",1973,0.68789
"rwa",1974,0.71322
"rwa",1975,0.5246
"rwa",1976,0.87926
"rwa",1977,0.64219
"rwa",1978,0.53671
"rwa",1979,1.21348
"rwa",1980,1.41124
"rwa",1981,1.36497
"rwa",1982,1.46765
"rwa",1983,0.73775
"rwa",1984,0.94902
"rwa",1985,0.85205
"rwa",1986,0.90467
"rwa",1987,0.81549
"rwa",1988,0.87861
"rwa",1989,0.64484
"rwa",1990,0.29654
"rwa",1991,0.23948
"rwa",1992,0.10781
"rwa",1993,0.2968
"rwa",1994,0.00013
"rwa",1995,0.17102
"rwa",1996,0.16047
"rwa",1997,0.14034
"rwa",1998,0.35636
"rwa",1999,0.09494
"rwa",2000,0.4795
"rwa",2001,0.27672
"rwa",2002,0.15558
"rwa",2003,0.25458
"rwa",2004,0.3686
"rwa",2005,0.40677
"rwa",2006,0.97211
"rwa",2007,2.15131
"rwa",2008,2.12642
"rwa",2009,2.2062
"rwa",2010,4.33918
"rwa",2011,1.81471
"rwa",2012,3.47602
"rwa",2013,3.38028
"rwa",2014,3.92614
"rwa",2015,2.69806
"rwa",2016,3.14193
"rwa",2017,3.21137
"ssd",2012,1.42898
"ssd",2013,-5.30778
"ssd",2014,0.00686
"ssd",2015,0.00138
"ssd",2016,-0.27031
"tza",1988,0.07372
"tza",1989,0.13212
"tza",1990,0.00023
"tza",1991,2e-04
"tza",1992,0.26448
"tza",1993,0.48049
"tza",1994,1.10846
"tza",1995,2.28224
"tza",1996,2.31007
"tza",1997,2.05476
"tza",1998,1.8438
"tza",1999,5.32799
"tza",2000,4.54949
"tza",2001,5.28981
"tza",2002,3.66076
"tza",2003,2.73092
"tza",2004,3.45039
"tza",2005,5.52582
"tza",2006,2.16566
"tza",2007,2.70449
"tza",2008,5.05423
"tza",2009,3.33393
"tza",2010,5.77307
"tza",2011,3.62872
"tza",2012,4.60412
"tza",2013,4.6996
"tza",2014,3.4686
"tza",2015,3.51701
"tza",2016,2.88127
"tza",2017,2.26606
"uga",1970,0.33331
"uga",1971,-0.08464
"uga",1972,-0.7978
"uga",1973,0.30543
"uga",1974,0.08095
"uga",1975,0.089
"uga",1976,0.08377
"uga",1977,0.02724
"uga",1978,0.0814
"uga",1979,0.0935
"uga",1980,0.32139
"uga",1982,0.09277
"uga",1985,-0.11365
"uga",1988,0.07221
"uga",1989,-0.03336
"uga",1990,-0.1373
"uga",1991,0.0301
"uga",1992,0.10499
"uga",1993,1.69542
"uga",1994,2.21029
"uga",1995,2.1057
"uga",1996,2.00179
"uga",1997,2.79137
"uga",1998,3.18916
"uga",1999,2.33723
"uga",2000,2.59476
"uga",2001,2.59389
"uga",2002,2.98853
"uga",2003,3.19082
"uga",2004,3.72044
"uga",2005,4.21362
"uga",2006,6.47982
"uga",2007,6.44528
"uga",2008,5.11876
"uga",2009,4.63193
"uga",2010,2.69424
"uga",2011,4.43246
"uga",2012,5.21491
"uga",2013,4.45537
"uga",2014,3.87868
"uga",2015,2.7217
"uga",2016,2.59856
"uga",2017,2.7017
