"geo","time","sulfur_emissions_per_person_kg"
"rwa",1941,1.116
"rwa",1942,1.132
"rwa",1943,1.13
"rwa",1944,1.093
"rwa",1945,1.078
"rwa",1946,1.04
"rwa",1947,1.093
"rwa",1948,1.266
"rwa",1949,1.304
"rwa",1950,1.357
"rwa",1951,1.326
"rwa",1952,1.432
"rwa",1953,1.468
"rwa",1954,1.477
"rwa",1955,1.526
"rwa",1956,1.647
"rwa",1957,1.647
"rwa",1958,1.644
"rwa",1959,1.672
"rwa",1960,1.514
"rwa",1961,1.551
"rwa",1962,1.595
"rwa",1963,1.602
"rwa",1964,1.623
"rwa",1965,1.632
"rwa",1966,1.637
"rwa",1967,1.644
"rwa",1968,1.65
"rwa",1969,1.653
"rwa",1970,1.655
"rwa",1971,1.661
"rwa",1972,1.595
"rwa",1973,1.638
"rwa",1974,1.676
"rwa",1975,1.535
"rwa",1976,1.441
"rwa",1977,1.519
"rwa",1978,1.419
"rwa",1979,1.451
"rwa",1980,1.505
"rwa",1981,1.46
"rwa",1982,1.367
"rwa",1983,1.245
"rwa",1984,1.241
"rwa",1985,1.212
"rwa",1986,1.195
"rwa",1987,1.169
"rwa",1988,1.154
"rwa",1989,1.124
"rwa",1990,1.094
"rwa",1991,1.091
"rwa",1992,1.09
"rwa",1993,1.092
"rwa",1994,0.8735
"rwa",1995,1.055
"rwa",1996,0.9967
"rwa",1997,1.025
"rwa",1998,1.049
"rwa",1999,1.049
"rwa",2000,1.051
"tza",1850,0
"tza",1851,0
"tza",1852,0
"tza",1853,0
"tza",1854,0
"tza",1855,0
"tza",1856,0
"tza",1857,0
"tza",1858,0
"tza",1859,0
"tza",1860,0
"tza",1861,1e-05
"tza",1862,1e-05
"tza",1863,2e-05
"tza",1864,2e-05
"tza",1865,3e-05
"tza",1866,3e-05
"tza",1867,3e-05
"tza",1868,4e-05
"tza",1869,4e-05
"tza",1870,5e-05
"tza",1871,5e-05
"tza",1872,5e-05
"tza",1873,6e-05
"tza",1874,6e-05
"tza",1875,7e-05
"tza",1876,7e-05
"tza",1877,7e-05
"tza",1878,8e-05
"tza",1879,8e-05
"tza",1880,8e-05
"tza",1881,1e-04
"tza",1882,9e-05
"tza",1883,9e-05
"tza",1884,9e-05
"tza",1885,1e-04
"tza",1886,0.00011
"tza",1887,0.00012
"tza",1888,0.00012
"tza",1889,0.00014
"tza",1890,0.00014
"tza",1891,0.00012
"tza",1892,0.00016
"tza",1893,0.00014
"tza",1894,0.00017
"tza",1895,0.00015
"tza",1896,0.00017
"tza",1897,0.00019
"tza",1898,0.00019
"tza",1899,0.00019
"tza",1900,0.00023
"tza",1901,0.00025
"tza",1902,0.00013
"tza",1903,0.00014
"tza",1904,0.00017
"tza",1905,0.00018
"tza",1906,0.00018
"tza",1907,0.00019
"tza",1908,0.00025
"tza",1909,0.00023
"tza",1910,0.00027
"tza",1911,0.00024
"tza",1912,0.00027
"tza",1913,0.00031
"tza",1914,0.00033
"tza",1915,0.00038
"tza",1916,0.00042
"tza",1917,0.00036
"tza",1918,0.00038
"tza",1919,0.00042
"tza",1920,0.00044
"tza",1921,6e-04
"tza",1922,0.00117
"tza",1923,0.00171
"tza",1924,0.00224
"tza",1925,0.00274
"tza",1926,0.00322
"tza",1927,0.00368
"tza",1928,0.00413
"tza",1929,0.00456
"tza",1930,0.00497
"tza",1931,0.00537
"tza",1932,0.0057
"tza",1933,0.00602
"tza",1934,0.00632
"tza",1935,0.00661
"tza",1936,0.00689
"tza",1937,0.00715
"tza",1938,0.0074
"tza",1939,0.00764
"tza",1940,0.00787
"tza",1941,0.00809
"tza",1942,0.0083
"tza",1943,0.00851
"tza",1944,0.0087
"tza",1945,0.00889
"tza",1946,0.00907
"tza",1947,0.00924
"tza",1948,0.00941
"tza",1949,0.00963
"tza",1950,1.133
"tza",1951,1.116
"tza",1952,1.495
"tza",1953,1.089
"tza",1954,0.95
"tza",1955,0.1107
"tza",1956,0.133
"tza",1957,0.01709
"tza",1958,0.01664
"tza",1959,0.0324
"tza",1960,0.03152
"tza",1961,0.03065
"tza",1962,0.04468
"tza",1963,0.02894
"tza",1964,0.01405
"tza",1965,0.02729
"tza",1966,1.927
"tza",1967,4.43
"tza",1968,4.656
"tza",1969,3.497
