"geo","time","newborn_deaths"
"rwa",1995,5881
"rwa",1996,6518
"rwa",1997,8805
"rwa",1998,11770
"rwa",1999,13960
"rwa",2000,14940
"rwa",2001,14900
"rwa",2002,13850
"rwa",2003,12370
"rwa",2004,11000
"rwa",2005,10040
"rwa",2006,9613
"rwa",2007,9456
"rwa",2008,9433
"rwa",2009,9346
"rwa",2010,9065
"rwa",2011,8473
"rwa",2012,7808
"rwa",2013,7149
"rwa",2014,6653
"rwa",2015,6299
"ssd",1987,17660
"ssd",1988,17980
"ssd",1989,18050
"ssd",1990,17780
"ssd",1991,17240
"ssd",1992,16400
"ssd",1993,15530
"ssd",1994,14970
"ssd",1995,15000
"ssd",1996,14740
"ssd",1997,14990
"ssd",1998,15520
"ssd",1999,15970
"ssd",2000,16230
"ssd",2001,16190
"ssd",2002,15980
"ssd",2003,15770
"ssd",2004,15640
"ssd",2005,15610
"ssd",2006,15620
"ssd",2007,15790
"ssd",2008,16000
"ssd",2009,16240
"ssd",2010,16460
"ssd",2011,16650
"ssd",2012,16840
"ssd",2013,17000
"ssd",2014,17040
"ssd",2015,17030
"tza",1968,28610
"tza",1969,29060
"tza",1970,29460
"tza",1971,29720
"tza",1972,30060
"tza",1973,30700
"tza",1974,31420
"tza",1975,32300
"tza",1976,33380
"tza",1977,34590
"tza",1978,35660
"tza",1979,36680
"tza",1980,37700
"tza",1981,38630
"tza",1982,39490
"tza",1983,40200
"tza",1984,40650
"tza",1985,41130
"tza",1986,41470
"tza",1987,41820
"tza",1988,42100
"tza",1989,42520
"tza",1990,42980
"tza",1991,43340
"tza",1992,43760
"tza",1993,44250
"tza",1994,44460
"tza",1995,44580
"tza",1996,44440
"tza",1997,44120
"tza",1998,43650
"tza",1999,43230
"tza",2000,42850
"tza",2001,42640
"tza",2002,42620
"tza",2003,42630
"tza",2004,42610
"tza",2005,42290
"tza",2006,41630
"tza",2007,40580
"tza",2008,39760
"tza",2009,38970
"tza",2010,38420
"tza",2011,38370
"tza",2012,38400
"tza",2013,38610
"tza",2014,38680
"tza",2015,38580
"uga",1965,22930
"uga",1966,23390
"uga",1967,23660
"uga",1968,23880
"uga",1969,24000
"uga",1970,24070
"uga",1971,24170
"uga",1972,24340
"uga",1973,24640
"uga",1974,25160
"uga",1975,25900
"uga",1976,26790
"uga",1977,27980
"uga",1978,29240
"uga",1979,30420
"uga",1980,31300
"uga",1981,31660
"uga",1982,31780
"uga",1983,31780
"uga",1984,31670
"uga",1985,31620
"uga",1986,31460
"uga",1987,31420
"uga",1988,31460
"uga",1989,31560
"uga",1990,31520
"uga",1991,31570
"uga",1992,31740
"uga",1993,32130
"uga",1994,32800
"uga",1995,33480
"uga",1996,34120
"uga",1997,34590
"uga",1998,35040
"uga",1999,35260
"uga",2000,35490
"uga",2001,35550
"uga",2002,35470
"uga",2003,35380
"uga",2004,35190
"uga",2005,34980
"uga",2006,34530
"uga",2007,33840
"uga",2008,33060
"uga",2009,32350
"uga",2010,31620
"uga",2011,30940
"uga",2012,30360
"uga",2013,29960
"uga",2014,29840
"uga",2015,29740
