"geo","time","mean_years_in_school_women_45_to_54_years"
"rwa",2003,1.52
"rwa",2004,1.58
"rwa",2005,1.63
"rwa",2006,1.69
"rwa",2007,1.76
"rwa",2008,1.82
"rwa",2009,1.88
"rwa",2010,1.95
"rwa",2011,2.01
"rwa",2012,2.08
"rwa",2013,2.15
"rwa",2014,2.22
"rwa",2015,2.29
"ssd",1970,0.11
"ssd",1971,0.12
"ssd",1972,0.12
"ssd",1973,0.13
"ssd",1974,0.13
"ssd",1975,0.13
"ssd",1976,0.14
"ssd",1977,0.14
"ssd",1978,0.15
"ssd",1979,0.15
"ssd",1980,0.16
"ssd",1981,0.16
"ssd",1982,0.17
"ssd",1983,0.18
"ssd",1984,0.18
"ssd",1985,0.19
"ssd",1986,0.19
"ssd",1987,0.2
"ssd",1988,0.21
"ssd",1989,0.22
"ssd",1990,0.22
"ssd",1991,0.23
"ssd",1992,0.24
"ssd",1993,0.25
"ssd",1994,0.25
"ssd",1995,0.26
"ssd",1996,0.27
"ssd",1997,0.28
"ssd",1998,0.29
"ssd",1999,0.3
"ssd",2000,0.31
"ssd",2001,0.32
"ssd",2002,0.33
"ssd",2003,0.34
"ssd",2004,0.35
"ssd",2005,0.37
"ssd",2006,0.38
"ssd",2007,0.39
"ssd",2008,0.4
"ssd",2009,0.42
"ssd",2010,0.43
"ssd",2011,0.45
"ssd",2012,0.46
"ssd",2013,0.48
"ssd",2014,0.49
"ssd",2015,0.51
"tza",1970,0.68
"tza",1971,0.71
"tza",1972,0.73
"tza",1973,0.76
"tza",1974,0.78
"tza",1975,0.81
"tza",1976,0.84
"tza",1977,0.87
"tza",1978,0.9
"tza",1979,0.94
"tza",1980,0.97
"tza",1981,1.01
"tza",1982,1.04
"tza",1983,1.08
"tza",1984,1.12
"tza",1985,1.16
"tza",1986,1.21
"tza",1987,1.25
"tza",1988,1.3
"tza",1989,1.35
"tza",1990,1.4
"tza",1991,1.45
"tza",1992,1.5
"tza",1993,1.56
"tza",1994,1.62
"tza",1995,1.68
"tza",1996,1.75
"tza",1997,1.82
"tza",1998,1.89
"tza",1999,1.96
"tza",2000,2.04
"tza",2001,2.11
"tza",2002,2.19
"tza",2003,2.27
"tza",2004,2.35
"tza",2005,2.43
"tza",2006,2.52
"tza",2007,2.6
"tza",2008,2.69
"tza",2009,2.78
"tza",2010,2.87
"tza",2011,2.95
"tza",2012,3.05
"tza",2013,3.14
"tza",2014,3.23
"tza",2015,3.32
"uga",1970,0.77
"uga",1971,0.8
"uga",1972,0.83
"uga",1973,0.86
"uga",1974,0.89
"uga",1975,0.92
"uga",1976,0.95
"uga",1977,0.98
"uga",1978,1.02
"uga",1979,1.05
"uga",1980,1.09
"uga",1981,1.13
"uga",1982,1.17
"uga",1983,1.21
"uga",1984,1.25
"uga",1985,1.29
"uga",1986,1.34
"uga",1987,1.39
"uga",1988,1.44
"uga",1989,1.49
"uga",1990,1.54
"uga",1991,1.59
"uga",1992,1.65
"uga",1993,1.71
"uga",1994,1.77
"uga",1995,1.83
"uga",1996,1.9
"uga",1997,1.97
"uga",1998,2.04
"uga",1999,2.11
"uga",2000,2.18
"uga",2001,2.26
"uga",2002,2.34
"uga",2003,2.41
"uga",2004,2.49
"uga",2005,2.58
"uga",2006,2.66
"uga",2007,2.74
"uga",2008,2.83
"uga",2009,2.92
"uga",2010,3.01
"uga",2011,3.1
"uga",2012,3.19
"uga",2013,3.28
"uga",2014,3.38
"uga",2015,3.48
