"geo","time","cell_phones_total"
"ssd",2015,2899000
"ssd",2016,2700000
"ssd",2017,1511529
"tza",1960,0
"tza",1965,0
"tza",1970,0
"tza",1975,0
"tza",1976,0
"tza",1977,0
"tza",1978,0
"tza",1979,0
"tza",1980,0
"tza",1981,0
"tza",1982,0
"tza",1983,0
"tza",1984,0
"tza",1985,0
"tza",1986,0
"tza",1987,0
"tza",1988,0
"tza",1989,0
"tza",1990,0
"tza",1991,0
"tza",1992,0
"tza",1993,0
"tza",1994,371
"tza",1995,3500
"tza",1996,9038
"tza",1997,20200
"tza",1998,37940
"tza",1999,50950
"tza",2000,110518
"tza",2001,275560
"tza",2002,606859
"tza",2003,1298000
"tza",2004,1942000
"tza",2005,2964000
"tza",2006,5609000
"tza",2007,8252000
"tza",2008,13006793
"tza",2009,17469486
"tza",2010,20983853
"tza",2011,25666455
"tza",2012,27219283
"tza",2013,27442823
"tza",2014,31862656
"tza",2015,39665600
"tza",2016,40044186
"tza",2017,39953860
"uga",1960,0
"uga",1965,0
"uga",1970,0
"uga",1975,0
"uga",1976,0
"uga",1977,0
"uga",1978,0
"uga",1979,0
"uga",1980,0
"uga",1981,0
"uga",1982,0
"uga",1983,0
"uga",1984,0
"uga",1985,0
"uga",1986,0
"uga",1987,0
"uga",1988,0
"uga",1989,0
"uga",1990,0
"uga",1991,0
"uga",1992,0
"uga",1993,0
"uga",1994,0
"uga",1995,1747
"uga",1996,4000
"uga",1997,5000
"uga",1998,30000
"uga",1999,56358
"uga",2000,126913
"uga",2001,283520
"uga",2002,393310
"uga",2003,776169
"uga",2004,1165035
"uga",2005,1315300
"uga",2006,2008818
"uga",2007,4195278
"uga",2008,8554864
"uga",2009,9383734
"uga",2010,12828264
"uga",2011,16696992
"uga",2012,16356387
"uga",2013,18068648
"uga",2014,20365941
"uga",2015,20220273
"uga",2016,22838486
"uga",2017,24948878
