"geo","time","child_mortality_0_5_year_olds_dying_per_1000_born"
"ken",1901,506.35
"ken",1902,505.83
"ken",1903,505.23
"ken",1904,504.56
"ken",1905,503.8
"ken",1906,502.97
"ken",1907,502.06
"ken",1908,501.06
"ken",1909,500
"ken",1910,498.89
"ken",1911,497.74
"ken",1912,496.56
"ken",1913,495.37
"ken",1914,494.18
"ken",1915,492.99
"ken",1916,491.79
"ken",1917,490.6
"ken",1918,489.41
"ken",1919,488.22
"ken",1920,487.03
"ken",1921,485.83
"ken",1922,484.64
"ken",1923,487.76
"ken",1924,490.88
"ken",1925,494.06
"ken",1926,498.68
"ken",1927,501.86
"ken",1928,496.21
"ken",1929,492.07
"ken",1930,486.5
"ken",1931,481.405
"ken",1932,476.386
"ken",1933,470.033
"ken",1934,465.119
"ken",1935,458.847
"ken",1936,454.028
"ken",1937,447.954
"ken",1938,441.911
"ken",1939,435.918
"ken",1940,430.064
"ken",1941,415.782
"ken",1942,401.972
"ken",1943,388.619
"ken",1944,375.708
"ken",1945,363.224
"ken",1946,351.154
"ken",1947,339.483
"ken",1948,328.199
"ken",1949,317.288
"ken",1950,306.738
"ken",1951,304.944
"ken",1952,301.1
"ken",1953,284.7
"ken",1954,269.1
"ken",1955,254.6
"ken",1956,241.3
"ken",1957,229.1
"ken",1958,217.9
"ken",1959,207.7
"ken",1960,198.4
"ken",1961,190.2
"ken",1962,182.9
"ken",1963,176.5
"ken",1964,171.2
"ken",1965,166.6
"ken",1966,162.9
"ken",1967,159.4
"ken",1968,155.9
"ken",1969,152.4
"ken",1970,149
"ken",1971,145.4
"ken",1972,141.7
"ken",1973,137.8
"ken",1974,133.6
"ken",1975,129.4
"ken",1976,125
"ken",1977,120.6
"ken",1978,116.2
"ken",1979,112.1
"ken",1980,108.2
"ken",1981,104.7
"ken",1982,101.6
"ken",1983,98.9
"ken",1984,96.8
"ken",1985,95.2
"ken",1986,94.4
"ken",1987,94.4
"ken",1988,95
"ken",1989,96.3
"ken",1990,98.1
"ken",1991,100
"ken",1992,102
"ken",1993,103.8
"ken",1994,105.2
"ken",1995,106.2
"ken",1996,106.6
"ken",1997,106.2
"ken",1998,105.1
"ken",1999,103.3
"ken",2000,100.8
"ken",2001,97.5
"ken",2002,93.8
"ken",2003,89.8
"ken",2004,85.5
"ken",2005,81
"ken",2006,76.6
"ken",2007,72.6
"ken",2008,67.9
"ken",2009,64.6
"ken",2010,62.2
"ken",2011,59.8
"ken",2012,57.8
"ken",2013,55.8
"ken",2014,53.5
"ken",2015,51
"ken",2016,49.2
"ken",2017,48.276
"ken",2018,47.142
"rwa",1800,420.04
"rwa",1801,420.04
"rwa",1802,420.04
"rwa",1803,420.04
"rwa",1804,420.04
"rwa",1805,420.04
"rwa",1806,420.04
"rwa",1807,420.04
"rwa",1808,420.04
"rwa",1809,420.04
"rwa",1810,420.04
"rwa",1811,420.04
"rwa",1812,420.04
"rwa",1813,420.04
"rwa",1814,420.04
"rwa",1815,420.04
"rwa",1816,420.04
"rwa",1817,420.04
"rwa",1818,420.04
"rwa",1819,420.04
"rwa",1820,420.04
"rwa",1821,420.04
"rwa",1822,420.04
"rwa",1823,420.04
"rwa",1824,420.04
"rwa",1825,420.04
"rwa",1826,420.04
"rwa",1827,420.04
"rwa",1828,420.04
"rwa",1829,420.04
"rwa",1830,420.04
"rwa",1831,420.04
"rwa",1832,420.04
"rwa",1833,420.04
"rwa",1834,420.04
"rwa",1835,420.04
"rwa",1836,420.04
"rwa",1837,420.04
"rwa",1838,420.04
"rwa",1839,420.04
"rwa",1840,420.04
"rwa",1841,420.04
"rwa",1842,420.04
"rwa",1843,420.04
"rwa",1844,420.04
"rwa",1845,420.04
"rwa",1846,420.04
"rwa",1847,420.04
"rwa",1848,420.04
"rwa",1849,420.04
"rwa",1850,420.04
"rwa",1851,420.04
"rwa",1852,420.04
"rwa",1853,420.04
"rwa",1854,420.04
"rwa",1855,420.04
"rwa",1856,420.04
"rwa",1857,420.04
"rwa",1858,420.04
"rwa",1859,420.04
"rwa",1860,420.04
"rwa",1861,420.04
"rwa",1862,420.04
"rwa",1863,420.04
"rwa",1864,420.04
"rwa",1865,420.04
"rwa",1866,420.04
"rwa",1867,420.04
"rwa",1868,420.04
"rwa",1869,420.04
"rwa",1870,420.04
"rwa",1871,420.04
"rwa",1872,420.04
"rwa",1873,420.04
"rwa",1874,420.04
"rwa",1875,420.04
"rwa",1876,420.04
"rwa",1877,420.04
"rwa",1878,420.04
"rwa",1879,420.04
"rwa",1880,420.04
"rwa",1881,420.04
"rwa",1882,420.04
"rwa",1883,420.04
"rwa",1884,420.04
"rwa",1885,420.04
"rwa",1886,420.04
"rwa",1887,420.04
"rwa",1888,420.04
"rwa",1889,420.04
"rwa",1890,420.04
"rwa",1891,420.04
"rwa",1892,420.04
"rwa",1893,420.04
"rwa",1894,420.03
"rwa",1895,420
"rwa",1896,419.93
"rwa",1897,419.82
"rwa",1898,419.66
"rwa",1899,419.43
"rwa",1900,419.13
"rwa",1901,418.77
"rwa",1902,418.34
"rwa",1903,417.85
"rwa",1904,417.29
"rwa",1905,416.67
"rwa",1906,415.98
"rwa",1907,415.22
"rwa",1908,414.4
"rwa",1909,413.52
"rwa",1910,412.6
"rwa",1911,411.65
"rwa",1912,410.68
"rwa",1913,409.69
"rwa",1914,408.71
"rwa",1915,407.72
"rwa",1916,406.73
"rwa",1917,405.75
"rwa",1918,404.76
"rwa",1919,403.78
"rwa",1920,402.79
"rwa",1921,401.81
"rwa",1922,400.82
"rwa",1923,399.83
"rwa",1924,398.85
"rwa",1925,397.86
"rwa",1926,396.88
"rwa",1927,395.89
"rwa",1928,394.91
"rwa",1929,393.92
"rwa",1930,392.93
"rwa",1931,386.314
"rwa",1932,379.793
"rwa",1933,374.498
"rwa",1934,368.142
"rwa",1935,361.859
"rwa",1936,355.639
"rwa",1937,349.541
"rwa",1938,344.597
"rwa",1939,338.631
"rwa",1940,332.747
"rwa",1941,326.915
"rwa",1942,321.202
"rwa",1943,316.571
"rwa",1944,310.967
"rwa",1945,302.679
"rwa",1946,294.61
"rwa",1947,286.754
"rwa",1948,279.107
"rwa",1949,271.662
"rwa",1950,264.415
"rwa",1951,263.043
"rwa",1952,260.289
"rwa",1953,257.519
"rwa",1954,254.729
"rwa",1955,251.922
"rwa",1956,249.1
"rwa",1957,241.9
"rwa",1958,234.6
"rwa",1959,227.7
"rwa",1960,221.6
"rwa",1961,216.9
"rwa",1962,213.2
"rwa",1963,210.9
"rwa",1964,209.9
"rwa",1965,209.7
"rwa",1966,210.7
"rwa",1967,212.4
"rwa",1968,214.9
"rwa",1969,217.9
"rwa",1970,221.2
"rwa",1971,224.6
"rwa",1972,228.7
"rwa",1973,234.1
"rwa",1974,240.2
"rwa",1975,246.3
"rwa",1976,250.6
"rwa",1977,250.6
"rwa",1978,244.7
"rwa",1979,233
"rwa",1980,217.9
"rwa",1981,201.3
"rwa",1982,186.4
"rwa",1983,174.8
"rwa",1984,166.1
"rwa",1985,159.6
"rwa",1986,154.5
"rwa",1987,150.8
"rwa",1988,148.5
"rwa",1989,148.1
"rwa",1990,150.6
"rwa",1991,156.7
"rwa",1992,165.5
"rwa",1993,183.7
"rwa",1994,284.4
"rwa",1995,252.6
"rwa",1996,197.4
"rwa",1997,221.7
"rwa",1998,240.2
"rwa",1999,205.4
"rwa",2000,194.7
"rwa",2001,180.6
"rwa",2002,164.1
"rwa",2003,147
"rwa",2004,130
"rwa",2005,114.6
"rwa",2006,101.2
"rwa",2007,89.5
"rwa",2008,79.6
"rwa",2009,71.2
"rwa",2010,63.6
"rwa",2011,56.6
"rwa",2012,50.9
"rwa",2013,46.8
"rwa",2014,43.4
"rwa",2015,40.5
"rwa",2016,38.5
"rwa",2017,37.672
"rwa",2018,36.602
"ssd",1800,490.08
"ssd",1801,490.08
"ssd",1802,490.08
"ssd",1803,490.08
"ssd",1804,490.08
"ssd",1805,490.08
"ssd",1806,490.08
"ssd",1807,490.08
"ssd",1808,490.08
"ssd",1809,490.08
"ssd",1810,490.08
"ssd",1811,490.08
"ssd",1812,490.08
"ssd",1813,490.08
"ssd",1814,490.08
"ssd",1815,490.08
"ssd",1816,490.08
"ssd",1817,490.08
"ssd",1818,490.08
"ssd",1819,490.08
"ssd",1820,490.08
"ssd",1821,490.08
"ssd",1822,490.08
"ssd",1823,490.08
"ssd",1824,490.08
"ssd",1825,490.08
"ssd",1826,490.08
"ssd",1827,490.08
"ssd",1828,490.08
"ssd",1829,490.08
"ssd",1830,490.08
"ssd",1831,490.08
"ssd",1832,490.08
"ssd",1833,490.08
"ssd",1834,490.08
"ssd",1835,490.08
"ssd",1836,490.08
"ssd",1837,490.08
"ssd",1838,490.08
"ssd",1839,490.08
"ssd",1840,490.08
"ssd",1841,490.08
"ssd",1842,490.08
"ssd",1843,490.08
"ssd",1844,490.08
"ssd",1845,490.08
"ssd",1846,490.08
"ssd",1847,490.08
"ssd",1848,490.08
"ssd",1849,490.08
"ssd",1850,490.08
"ssd",1851,490.08
"ssd",1852,490.08
"ssd",1853,490.08
"ssd",1854,490.08
"ssd",1855,490.08
"ssd",1856,490.08
"ssd",1857,490.08
"ssd",1858,490.08
"ssd",1859,490.08
"ssd",1860,490.08
"ssd",1861,490.08
"ssd",1862,490.08
"ssd",1863,490.08
"ssd",1864,490.08
"ssd",1865,490.08
"ssd",1866,490.08
"ssd",1867,490.08
"ssd",1868,490.08
"ssd",1869,490.08
"ssd",1870,490.08
"ssd",1871,490.08
"ssd",1872,490.08
"ssd",1873,490.08
"ssd",1874,490.08
"ssd",1875,490.08
"ssd",1876,490.08
"ssd",1877,490.08
"ssd",1878,490.08
"ssd",1879,490.08
"ssd",1880,490.08
"ssd",1881,490.08
"ssd",1882,490.08
"ssd",1883,490.08
"ssd",1884,490.08
"ssd",1885,490.08
"ssd",1886,490.08
"ssd",1887,490.08
"ssd",1888,490.08
"ssd",1889,490.08
"ssd",1890,490.08
"ssd",1891,490.08
"ssd",1892,490.08
"ssd",1893,490.08
"ssd",1894,490.07
"ssd",1895,490.03
"ssd",1896,489.95
"ssd",1897,489.82
"ssd",1898,489.63
"ssd",1899,489.36
"ssd",1900,489.02
"ssd",1901,486.61
"ssd",1902,484.211
"ssd",1903,481.825
"ssd",1904,479.45
"ssd",1905,477.087
"ssd",1906,474.735
"ssd",1907,472.396
"ssd",1908,470.067
"ssd",1909,467.75
"ssd",1910,465.445
"ssd",1911,463.151
"ssd",1912,460.868
"ssd",1913,458.597
"ssd",1914,456.336
"ssd",1915,454.087
"ssd",1916,451.849
"ssd",1917,449.622
"ssd",1918,447.406
"ssd",1919,445.201
"ssd",1920,443.006
"ssd",1921,440.823
"ssd",1922,438.65
"ssd",1923,436.488
"ssd",1924,434.337
"ssd",1925,432.196
"ssd",1926,430.066
"ssd",1927,427.946
"ssd",1928,425.837
"ssd",1929,423.738
"ssd",1930,421.65
"ssd",1931,419.571
"ssd",1932,417.503
"ssd",1933,415.446
"ssd",1934,413.398
"ssd",1935,411.36
"ssd",1936,409.333
"ssd",1937,407.315
"ssd",1938,405.308
