"geo","time","aged_15plus_labour_force_participation_rate_percent"
"uga",1999,69.967
"uga",2000,70.01
"uga",2001,70.08
"uga",2002,70.159
"uga",2003,70.243
"uga",2004,70.325
"uga",2005,70.404
"uga",2006,70.497
"uga",2007,70.582
"uga",2008,70.665
"uga",2009,70.753
"uga",2010,70.848
"uga",2011,70.954
"uga",2012,71.064
"uga",2013,70.98
"uga",2014,70.864
"uga",2015,70.72
"uga",2016,70.592
"uga",2017,70.674
"uga",2018,70.755
"uga",2019,70.84
"uga",2020,70.932
"uga",2021,71.025
"uga",2022,71.122
"uga",2023,71.223
"uga",2024,71.329
"uga",2025,71.441
"uga",2026,71.554
"uga",2027,71.671
"uga",2028,71.79
"uga",2029,71.907
"uga",2030,72.021
