"geo","time","infant_mortality_rate_per_1000_births"
"uga",1986,115.7
"uga",1987,114.7
"uga",1988,114
"uga",1989,113
"uga",1990,111.4
"uga",1991,109.3
"uga",1992,106.8
"uga",1993,104.5
"uga",1994,102.5
"uga",1995,101
"uga",1996,99.6
"uga",1997,98.1
"uga",1998,96
"uga",1999,93.4
"uga",2000,90
"uga",2001,86
"uga",2002,81.6
"uga",2003,76.9
"uga",2004,72.2
"uga",2005,67.6
"uga",2006,63.4
"uga",2007,59.2
"uga",2008,55.4
"uga",2009,52.3
"uga",2010,49.5
"uga",2011,46.3
"uga",2012,42.5
"uga",2013,41.6
"uga",2014,39.1
"uga",2015,37.7
