"geo","time","gapminder_gini"
"cod",1931,42.4
"cod",1932,42.5
"cod",1933,42.5
"cod",1934,42.5
"cod",1935,42.5
"cod",1936,42.5
"cod",1937,42.5
"cod",1938,42.5
"cod",1939,42.5
"cod",1940,42.5
"cod",1941,42.5
"cod",1942,42.5
"cod",1943,42.5
"cod",1944,42.5
"cod",1945,42.5
"cod",1946,42.5
"cod",1947,42.5
"cod",1948,42.5
"cod",1949,42.5
"cod",1950,42.5
"cod",1951,42.5
"cod",1952,42.4
"cod",1953,42.4
"cod",1954,42.4
"cod",1955,42.4
"cod",1956,42.4
"cod",1957,42.4
"cod",1958,42.4
"cod",1959,42.4
"cod",1960,42.4
"cod",1961,42.4
"cod",1962,42.4
"cod",1963,42.4
"cod",1964,42.4
"cod",1965,42.4
"cod",1966,42.4
"cod",1967,42.4
"cod",1968,42.4
"cod",1969,42.4
"cod",1970,42.4
"cod",1971,42.3
"cod",1972,42.3
"cod",1973,42.3
"cod",1974,42.3
"cod",1975,42.3
"cod",1976,42.3
"cod",1977,42.3
"cod",1978,42.3
"cod",1979,42.3
"cod",1980,42.3
"cod",1981,42.3
"cod",1982,42.3
"cod",1983,42.3
"cod",1984,42.3
"cod",1985,42.3
"cod",1986,42.3
"cod",1987,42.3
"cod",1988,42.3
"cod",1989,42.3
"cod",1990,42.3
"cod",1991,42.2
"cod",1992,42.2
"cod",1993,42.2
"cod",1994,42.2
"cod",1995,42.2
"cod",1996,42.2
"cod",1997,42.2
"cod",1998,42.2
"cod",1999,42.2
"cod",2000,42.2
"cod",2001,42.2
"cod",2002,42.2
"cod",2003,42.2
"cod",2004,42.2
"cod",2005,42.2
"cod",2006,42.2
"cod",2007,42.1
"cod",2008,42.1
"cod",2009,42.1
"cod",2010,42.1
"cod",2011,42.1
"cod",2012,42.1
"cod",2013,42.1
"cod",2014,42.1
"cod",2015,42.1
"cod",2016,42.1
"cod",2017,42.1
"cod",2018,42.1
"cod",2019,42.1
"cod",2020,42.1
"cod",2021,42.1
"cod",2022,42.1
"cod",2023,42.1
"cod",2024,42.1
"cod",2025,42.1
"cod",2026,42.1
"cod",2027,42.1
"cod",2028,42.1
"cod",2029,42.1
"cod",2030,42.1
"cod",2031,42.1
"cod",2032,42.1
"cod",2033,42.1
"cod",2034,42.1
"cod",2035,42.1
"cod",2036,42.1
"cod",2037,42.1
"cod",2038,42.1
"cod",2039,42.1
"cod",2040,42.1
"ken",1800,54.1
"ken",1801,54.1
"ken",1802,54.1
"ken",1803,54.1
"ken",1804,54.1
"ken",1805,54.1
"ken",1806,54.1
"ken",1807,54.1
"ken",1808,54.1
"ken",1809,54.1
"ken",1810,54.1
"ken",1811,54.1
"ken",1812,54.1
"ken",1813,54.1
"ken",1814,54.1
"ken",1815,54.1
"ken",1816,54.1
"ken",1817,54.1
"ken",1818,54.1
"ken",1819,54.1
"ken",1820,54.1
"ken",1821,54.1
"ken",1822,54.1
"ken",1823,54.1
"ken",1824,54.1
"ken",1825,54.1
"ken",1826,54.1
"ken",1827,54.1
"ken",1828,54.1
"ken",1829,54.1
"ken",1830,54.1
"ken",1831,54.1
"ken",1832,54.1
"ken",1833,54.1
"ken",1834,54.1
"ken",1835,54.1
"ken",1836,54.1
"ken",1837,54.1
"ken",1838,54.1
"ken",1839,54.1
"ken",1840,54.1
"ken",1841,54.1
"ken",1842,54.1
"ken",1843,54.1
"ken",1844,54.1
"ken",1845,54.1
"ken",1846,54.1
"ken",1847,54.1
"ken",1848,54.1
"ken",1849,54.1
"ken",1850,54.1
"ken",1851,54.1
"ken",1852,54.1
"ken",1853,54.1
"ken",1854,54.1
"ken",1855,54.1
"ken",1856,54.1
"ken",1857,54.1
"ken",1858,54.1
"ken",1859,54.1
"ken",1860,54.1
"ken",1861,54.1
"ken",1862,54.1
"ken",1863,54.1
"ken",1864,54.1
"ken",1865,54
"ken",1866,53.9
"ken",1867,53.8
"ken",1868,53.5
"ken",1869,53.3
"ken",1870,52.9
"ken",1871,52.6
"ken",1872,52.1
"ken",1873,51.6
"ken",1874,51.1
"ken",1875,50.5
"ken",1876,49.8
"ken",1877,49.1
"ken",1878,48.4
"ken",1879,47.6
"ken",1880,46.8
"ken",1881,46.1
"ken",1882,45.3
"ken",1883,44.6
"ken",1884,43.8
"ken",1885,43.2
"ken",1886,42.6
"ken",1887,42.2
"ken",1888,41.9
"ken",1889,41.8
"ken",1890,41.7
"ken",1891,41.8
"ken",1892,42
"ken",1893,42.3
"ken",1894,42.8
"ken",1895,43.3
"ken",1896,44
"ken",1897,44.8
"ken",1898,45.7
"ken",1899,46.6
"ken",1900,47.5
"ken",1901,48.5
"ken",1902,49.4
"ken",1903,50.3
"ken",1904,51.2
"ken",1905,52.1
"ken",1906,52.9
"ken",1907,53.7
"ken",1908,54.5
"ken",1909,55.2
"ken",1910,55.9
"ken",1911,56.5
"ken",1912,57.2
"ken",1913,57.7
"ken",1914,58.3
"ken",1915,58.8
"ken",1916,59.2
"ken",1917,59.6
"ken",1918,60
"ken",1919,60.4
"ken",1920,60.8
"ken",1921,61.1
"ken",1922,61.5
"ken",1923,61.9
"ken",1924,62.3
"ken",1925,62.6
"ken",1926,62.9
"ken",1927,63.2
"ken",1928,63.4
"ken",1929,63.7
"ken",1930,63.9
"ken",1931,64.1
"ken",1932,64.2
"ken",1933,64.4
"ken",1934,64.5
"ken",1935,64.6
"ken",1936,64.6
"ken",1937,64.7
"ken",1938,64.7
"ken",1939,64.7
"ken",1940,64.8
"ken",1941,64.8
"ken",1942,64.9
"ken",1943,64.9
"ken",1944,64.9
"ken",1945,65
"ken",1946,65
"ken",1947,65.2
"ken",1948,65.5
"ken",1949,66
"ken",1950,66.2
"ken",1951,66.9
"ken",1952,67.8
"ken",1953,68.9
"ken",1954,70.2
"ken",1955,71.6
"ken",1956,73
"ken",1957,74.4
"ken",1958,75.4
"ken",1959,76
"ken",1960,77
"ken",1961,76.7
"ken",1962,75.8
"ken",1963,74.3
"ken",1964,72.3
"ken",1965,70.2
"ken",1966,68.2
"ken",1967,66.1
"ken",1968,64.1
"ken",1969,61.6
"ken",1970,60.6
"ken",1971,60.3
"ken",1972,60.5
"ken",1973,61.3
"ken",1974,62.1
"ken",1975,62.9
"ken",1976,63.7
"ken",1977,64.5
"ken",1978,65.3
"ken",1979,65.8
"ken",1980,65.8
