"geo","time","cell_phones_per_100_people"
"rwa",2011,42.27999
"rwa",2012,52.74658
"rwa",2013,60.45248
"rwa",2014,68.28361
"rwa",2015,75.32206
"rwa",2016,74.86073
"rwa",2017,72.23888
"ssd",2010,14.89988
"ssd",2011,17.22676
"ssd",2012,21.26035
"ssd",2013,25.52655
"ssd",2014,24.94237
"ssd",2015,24.39797
"ssd",2016,22.07554
"ssd",2017,12.01943
"tza",1960,0
"tza",1965,0
"tza",1970,0
"tza",1975,0
"tza",1976,0
"tza",1977,0
"tza",1978,0
"tza",1979,0
"tza",1980,0
"tza",1981,0
"tza",1982,0
"tza",1983,0
"tza",1984,0
"tza",1985,0
"tza",1986,0
"tza",1987,0
"tza",1988,0
"tza",1989,0
"tza",1990,0
"tza",1991,0
"tza",1992,0
"tza",1993,0
"tza",1994,0.00128
"tza",1995,0.01168
"tza",1996,0.02933
"tza",1997,0.06385
"tza",1998,0.11691
"tza",1999,0.15304
"tza",2000,0.32336
"tza",2001,0.78469
"tza",2002,1.68078
"tza",2003,3.49403
"tza",2004,5.07713
"tza",2005,7.52083
"tza",2006,13.80339
"tza",2007,19.68337
"tza",2008,30.05951
"tza",2009,39.11292
"tza",2010,45.51951
"tza",2011,53.95411
"tza",2012,55.45563
"tza",2013,54.19563
"tza",2014,60.99882
"tza",2015,73.61847
"tza",2016,72.05794
"tza",2017,69.71531
"uga",1960,0
"uga",1965,0
"uga",1970,0
"uga",1975,0
"uga",1976,0
"uga",1977,0
"uga",1978,0
"uga",1979,0
"uga",1980,0
"uga",1981,0
"uga",1982,0
"uga",1983,0
"uga",1984,0
"uga",1985,0
"uga",1986,0
"uga",1987,0
"uga",1988,0
"uga",1989,0
"uga",1990,0
"uga",1991,0
"uga",1992,0
"uga",1993,0
"uga",1994,0
"uga",1995,0.0085
"uga",1996,0.01887
"uga",1997,0.02287
"uga",1998,0.13303
"uga",1999,0.24216
"uga",2000,0.52794
"uga",2001,1.1407
"uga",2002,1.52932
"uga",2003,2.91521
"uga",2004,4.22597
"uga",2005,4.60798
"uga",2006,6.79788
"uga",2007,13.71432
"uga",2008,27.01772
"uga",2009,28.63348
"uga",2010,37.8246
"uga",2011,47.57839
"uga",2012,45.05048
"uga",2013,48.11413
"uga",2014,52.44448
"uga",2015,50.36826
"uga",2016,55.04846
"uga",2017,58.20615
