"geo","time","surface_area_sq_km"
"uga",1962,241550
"uga",1963,241550
"uga",1964,241550
"uga",1965,241550
"uga",1966,241550
"uga",1967,241550
"uga",1968,241550
"uga",1969,241550
"uga",1970,241550
"uga",1971,241550
"uga",1972,241550
"uga",1973,241550
"uga",1974,241550
"uga",1975,241550
"uga",1976,241550
"uga",1977,241550
"uga",1978,241550
"uga",1979,241550
"uga",1980,241550
"uga",1981,241550
"uga",1982,241550
"uga",1983,241550
"uga",1984,241550
"uga",1985,241550
"uga",1986,241550
"uga",1987,241550
"uga",1988,241550
"uga",1989,241550
"uga",1990,241550
"uga",1991,241550
"uga",1992,241550
"uga",1993,241550
"uga",1994,241550
"uga",1995,241550
"uga",1996,241550
"uga",1997,241550
"uga",1998,241550
"uga",1999,241550
"uga",2000,241550
"uga",2001,241550
"uga",2002,241550
"uga",2003,241550
"uga",2004,241550
"uga",2005,241550
"uga",2006,241550
"uga",2007,241550
"uga",2008,241550
"uga",2009,241550
"uga",2010,241550
"uga",2011,241550
"uga",2012,241550
"uga",2013,241550
"uga",2014,241550
"uga",2015,241550
"uga",2016,241550
"uga",2017,241550
