"geo","time","mean_years_in_school_women_35_to_44_years"
"ken",1972,1.51
"ken",1973,1.57
"ken",1974,1.64
"ken",1975,1.71
"ken",1976,1.78
"ken",1977,1.86
"ken",1978,1.94
"ken",1979,2.03
"ken",1980,2.12
"ken",1981,2.22
"ken",1982,2.32
"ken",1983,2.43
"ken",1984,2.54
"ken",1985,2.66
"ken",1986,2.78
"ken",1987,2.91
"ken",1988,3.05
"ken",1989,3.19
"ken",1990,3.35
"ken",1991,3.5
"ken",1992,3.67
"ken",1993,3.85
"ken",1994,4.03
"ken",1995,4.22
"ken",1996,4.37
"ken",1997,4.53
"ken",1998,4.69
"ken",1999,4.85
"ken",2000,5.01
"ken",2001,5.16
"ken",2002,5.32
"ken",2003,5.47
"ken",2004,5.63
"ken",2005,5.78
"ken",2006,5.93
"ken",2007,6.08
"ken",2008,6.23
"ken",2009,6.38
"ken",2010,6.52
"ken",2011,6.67
"ken",2012,6.82
"ken",2013,6.96
"ken",2014,7.11
"ken",2015,7.25
"rwa",1970,0.75
"rwa",1971,0.78
"rwa",1972,0.81
"rwa",1973,0.84
"rwa",1974,0.87
"rwa",1975,0.9
"rwa",1976,0.94
"rwa",1977,0.98
"rwa",1978,1.01
"rwa",1979,1.05
"rwa",1980,1.1
"rwa",1981,1.14
"rwa",1982,1.19
"rwa",1983,1.23
"rwa",1984,1.28
"rwa",1985,1.34
"rwa",1986,1.39
"rwa",1987,1.45
"rwa",1988,1.51
"rwa",1989,1.58
"rwa",1990,1.64
"rwa",1991,1.71
"rwa",1992,1.79
"rwa",1993,1.87
"rwa",1994,1.95
"rwa",1995,2.03
"rwa",1996,2.12
"rwa",1997,2.2
"rwa",1998,2.29
"rwa",1999,2.38
"rwa",2000,2.47
"rwa",2001,2.56
"rwa",2002,2.65
"rwa",2003,2.75
"rwa",2004,2.84
"rwa",2005,2.94
"rwa",2006,3.04
"rwa",2007,3.14
"rwa",2008,3.24
"rwa",2009,3.34
"rwa",2010,3.45
"rwa",2011,3.55
"rwa",2012,3.66
"rwa",2013,3.76
"rwa",2014,3.87
"rwa",2015,3.98
"ssd",1970,0.2
"ssd",1971,0.2
"ssd",1972,0.21
"ssd",1973,0.22
"ssd",1974,0.23
"ssd",1975,0.23
"ssd",1976,0.24
"ssd",1977,0.25
"ssd",1978,0.26
"ssd",1979,0.27
"ssd",1980,0.28
"ssd",1981,0.29
"ssd",1982,0.29
"ssd",1983,0.3
"ssd",1984,0.32
"ssd",1985,0.33
"ssd",1986,0.34
"ssd",1987,0.35
"ssd",1988,0.36
"ssd",1989,0.37
"ssd",1990,0.39
"ssd",1991,0.4
"ssd",1992,0.41
"ssd",1993,0.43
"ssd",1994,0.44
"ssd",1995,0.45
"ssd",1996,0.47
"ssd",1997,0.49
"ssd",1998,0.5
"ssd",1999,0.52
"ssd",2000,0.54
"ssd",2001,0.55
"ssd",2002,0.57
"ssd",2003,0.59
"ssd",2004,0.61
"ssd",2005,0.63
"ssd",2006,0.65
"ssd",2007,0.67
"ssd",2008,0.69
"ssd",2009,0.72
"ssd",2010,0.74
"ssd",2011,0.77
"ssd",2012,0.79
"ssd",2013,0.82
"ssd",2014,0.84
"ssd",2015,0.87
"tza",1970,1.38
"tza",1971,1.43
"tza",1972,1.48
"tza",1973,1.53
"tza",1974,1.58
"tza",1975,1.63
"tza",1976,1.69
"tza",1977,1.74
"tza",1978,1.8
"tza",1979,1.87
"tza",1980,1.93
"tza",1981,1.99
"tza",1982,2.06
"tza",1983,2.13
"tza",1984,2.2
"tza",1985,2.28
"tza",1986,2.36
"tza",1987,2.44
"tza",1988,2.52
"tza",1989,2.61
"tza",1990,2.7
"tza",1991,2.79
"tza",1992,2.88
"tza",1993,2.98
"tza",1994,3.08
"tza",1995,3.18
"tza",1996,3.29
"tza",1997,3.41
"tza",1998,3.52
"tza",1999,3.64
"tza",2000,3.75
"tza",2001,3.87
"tza",2002,4
"tza",2003,4.12
"tza",2004,4.24
"tza",2005,4.37
"tza",2006,4.5
"tza",2007,4.62
"tza",2008,4.75
"tza",2009,4.88
"tza",2010,5.01
"tza",2011,5.15
"tza",2012,5.28
"tza",2013,5.41
"tza",2014,5.55
"tza",2015,5.68
"uga",1970,1.26
"uga",1971,1.3
"uga",1972,1.34
"uga",1973,1.38
"uga",1974,1.43
"uga",1975,1.48
"uga",1976,1.53
"uga",1977,1.58
"uga",1978,1.63
"uga",1979,1.68
"uga",1980,1.73
"uga",1981,1.79
"uga",1982,1.85
"uga",1983,1.91
"uga",1984,1.97
"uga",1985,2.03
"uga",1986,2.1
"uga",1987,2.16
"uga",1988,2.23
"uga",1989,2.3
"uga",1990,2.37
"uga",1991,2.45
"uga",1992,2.52
"uga",1993,2.6
"uga",1994,2.68
"uga",1995,2.77
"uga",1996,2.85
"uga",1997,2.94
"uga",1998,3.02
"uga",1999,3.11
"uga",2000,3.21
"uga",2001,3.3
"uga",2002,3.4
"uga",2003,3.49
"uga",2004,3.59
"uga",2005,3.69
"uga",2006,3.8
"uga",2007,3.9
"uga",2008,4.01
"uga",2009,4.12
"uga",2010,4.23
"uga",2011,4.34
"uga",2012,4.46
"uga",2013,4.57
"uga",2014,4.69
"uga",2015,4.81
