"geo","time","external_debt_total_us_not_inflation_adjusted"
"ken",1976,1493329000
"ken",1977,1658884000
"ken",1978,2173736000
"ken",1979,2720996000
"ken",1980,3386807000
"ken",1981,3228163000
"ken",1982,3367820000
"ken",1983,3628281000
"ken",1984,3511512000
"ken",1985,4181349000
"ken",1986,4603586000
"ken",1987,5783677000
"ken",1988,5809652000
"ken",1989,5889233000
"ken",1990,7055159000
"ken",1991,7453506000
"ken",1992,6898202000
"ken",1993,7111502000
"ken",1994,7124411000
"ken",1995,7309191000
"ken",1996,6813730000
"ken",1997,6465016000
"ken",1998,6824530000
"ken",1999,6526077000
"ken",2000,6148248000
"ken",2001,5496282000
"ken",2002,6.097e+09
"ken",2003,6716482000
"ken",2004,6916407000
"ken",2005,6486772000
"ken",2006,6681910000
"ken",2007,7538434000
"ken",2008,7659361000
"ken",2009,8549248000
"ken",2010,8847568000
"ken",2011,10162730000
"ken",2012,11893745000
"ken",2013,13836037000
"ken",2014,16969376000
"ken",2015,19764038000
"ken",2016,22324987000
"rwa",1970,4879000
"rwa",1971,1998000
"rwa",1972,3384000
"rwa",1973,7914000
"rwa",1974,12311000
"rwa",1975,24074000
"rwa",1976,47677000
"rwa",1977,87493000
"rwa",1978,126804000
"rwa",1979,156077000
"rwa",1980,189831000
"rwa",1981,196580000
"rwa",1982,218308000
"rwa",1983,240501000
"rwa",1984,290096000
"rwa",1985,365596000
"rwa",1986,451267000
"rwa",1987,605109000
"rwa",1988,653567000
"rwa",1989,623297000
"rwa",1990,711731000
"rwa",1991,809898000
"rwa",1992,857064000
"rwa",1993,908962000
"rwa",1994,955148000
"rwa",1995,1032504000
"rwa",1996,1045353000
"rwa",1997,1112852000
"rwa",1998,1227858000
"rwa",1999,1311799000
"rwa",2000,1289759000
"rwa",2001,1299043000
"rwa",2002,1452035000
"rwa",2003,1555053000
"rwa",2004,1670720000
"rwa",2005,1526467000
"rwa",2006,433569000
"rwa",2007,619217000
"rwa",2008,688908000
"rwa",2009,861367000
"rwa",2010,906314000
"rwa",2011,1215707000
"rwa",2012,1262534000
"rwa",2013,1693564000
"rwa",2014,2021860000
"rwa",2015,2240624000
"rwa",2016,2783188000
"tza",1970,197359000
"tza",1971,1175689000
"tza",1972,1395651000
"tza",1973,1743027000
"tza",1974,2012128000
"tza",1975,2341882000
"tza",1976,2702044000
"tza",1977,3470568000
"tza",1978,4369041000
"tza",1979,4204048000
"tza",1980,5242014000
"tza",1981,5759619000
"tza",1982,6133769000
"tza",1983,6801892000
"tza",1984,7164251000
"tza",1985,9095915000
"tza",1986,4897648000
"tza",1987,5503393000
"tza",1988,6008405000
"tza",1989,5848907000
"tza",1990,6430712000
"tza",1991,6556401000
"tza",1992,6666322000
"tza",1993,6766166000
"tza",1994,7225292000
"tza",1995,7368197000
"tza",1996,7341380000
"tza",1997,7103349000
"tza",1998,7503609000
"tza",1999,7905463000
"tza",2000,7186028000
"tza",2001,6509288000
"tza",2002,7144025000
"tza",2003,7306170000
"tza",2004,8626963000
"tza",2005,8400040000
"tza",2006,4096161000
"tza",2007,5029477000
"tza",2008,6009852000
"tza",2009,7685361000
"tza",2010,8893151000
"tza",2011,10012876000
"tza",2012,11588075000
"tza",2013,13140981000
"tza",2014,14352454000
"tza",2015,15504686000
"tza",2016,16474516000
"uga",1970,151676000
"uga",1971,172356000
"uga",1972,177713000
"uga",1973,175532000
"uga",1974,202067000
"uga",1975,209213000
"uga",1976,243894000
"uga",1977,300753000
"uga",1978,426835000
"uga",1979,588278000
"uga",1980,690505000
"uga",1981,707179000
"uga",1982,874406000
"uga",1983,1009043000
"uga",1984,1074246000
"uga",1985,1238563000
"uga",1986,1422908000
"uga",1987,1935602000
"uga",1988,1940761000
"uga",1989,2196167000
"uga",1990,2605824000
"uga",1991,2803290000
"uga",1992,2951348000
"uga",1993,3052839000
"uga",1994,3397570000
"uga",1995,3608771000
"uga",1996,3710233000
"uga",1997,3907825000
"uga",1998,3941897000
"uga",1999,3537936000
"uga",2000,3535146000
"uga",2001,3768225000
"uga",2002,4019809000
"uga",2003,4578283000
"uga",2004,4790127000
"uga",2005,4461213000
"uga",2006,1300725000
"uga",2007,1653064000
"uga",2008,2292857000
"uga",2009,2763177000
"uga",2010,2974599000
"uga",2011,3262582000
"uga",2012,3779371000
"uga",2013,8739157000
"uga",2014,8952316000
"uga",2015,9925262000
"uga",2016,9946994000
