"geo","time","child_mortality_0_5_year_olds_more_years_version_7"
"ken",1802,507.9
"ken",1803,507.9
"ken",1804,507.9
"ken",1805,507.9
"ken",1806,507.9
"ken",1807,507.9
"ken",1808,507.9
"ken",1809,507.9
"ken",1810,507.9
"ken",1811,507.9
"ken",1812,507.9
"ken",1813,507.9
"ken",1814,507.9
"ken",1815,507.9
"ken",1816,507.9
"ken",1817,507.9
"ken",1818,507.9
"ken",1819,507.9
"ken",1820,507.9
"ken",1821,507.9
"ken",1822,507.9
"ken",1823,507.9
"ken",1824,507.9
"ken",1825,507.9
"ken",1826,507.9
"ken",1827,507.9
"ken",1828,507.9
"ken",1829,507.9
"ken",1830,507.9
"ken",1831,507.9
"ken",1832,507.9
"ken",1833,507.9
"ken",1834,507.9
"ken",1835,507.9
"ken",1836,507.9
"ken",1837,507.9
"ken",1838,507.9
"ken",1839,507.9
"ken",1840,507.9
"ken",1841,507.9
"ken",1842,507.9
"ken",1843,507.9
"ken",1844,507.9
"ken",1845,507.9
"ken",1846,507.9
"ken",1847,507.9
"ken",1848,507.9
"ken",1849,507.9
"ken",1850,507.9
"ken",1851,507.9
"ken",1852,507.9
"ken",1853,507.9
"ken",1854,507.9
"ken",1855,507.9
"ken",1856,507.9
"ken",1857,507.9
"ken",1858,507.9
"ken",1859,507.9
"ken",1860,507.9
"ken",1861,507.9
"ken",1862,507.9
"ken",1863,507.9
"ken",1864,507.9
"ken",1865,507.9
"ken",1866,507.9
"ken",1867,507.9
"ken",1868,507.9
"ken",1869,507.9
"ken",1870,507.9
"ken",1871,507.9
"ken",1872,507.9
"ken",1873,507.9
"ken",1874,507.9
"ken",1875,507.9
"ken",1876,507.9
"ken",1877,507.9
"ken",1878,507.9
"ken",1879,507.9
"ken",1880,507.9
"ken",1881,507.9
"ken",1882,507.9
"ken",1883,507.9
"ken",1884,507.9
"ken",1885,507.9
"ken",1886,507.9
"ken",1887,507.9
"ken",1888,507.9
"ken",1889,507.9
"ken",1890,507.9
"ken",1891,507.9
"ken",1892,507.9
"ken",1893,507.9
"ken",1894,507.9
"ken",1895,507.8
"ken",1896,507.8
"ken",1897,507.6
"ken",1898,507.4
"ken",1899,507.1
"ken",1900,506.8
"ken",1901,506.4
"ken",1902,505.8
"ken",1903,505.2
"ken",1904,504.6
"ken",1905,503.8
"ken",1906,503
"ken",1907,502.1
"ken",1908,501.1
"ken",1909,500
"ken",1910,498.9
"ken",1911,497.7
"ken",1912,496.6
"ken",1913,495.4
"ken",1914,494.2
"ken",1915,493
"ken",1916,491.8
"ken",1917,490.6
"ken",1918,489.4
"ken",1919,488.2
"ken",1920,487
"ken",1921,485.8
"ken",1922,484.6
"ken",1923,487.8
"ken",1924,490.9
"ken",1925,494.1
"ken",1926,498.7
"ken",1927,501.9
"ken",1928,496.2
"ken",1929,492.1
"ken",1930,486.5
"ken",1931,482.4
"ken",1932,478.3
"ken",1933,472.9
"ken",1934,468.9
"ken",1935,463.6
"ken",1936,459.7
"ken",1937,454.4
"ken",1938,449.2
"ken",1939,444.1
"ken",1940,439
"ken",1950,319.8
"ken",1951,305.4
"ken",1952,291.6
"ken",1953,278
"ken",1954,264.8
"ken",1955,252.2
"ken",1956,240.3
"ken",1957,228.9
"ken",1958,218.2
"ken",1959,208.2
"ken",1960,199
"ken",1961,190.8
"ken",1962,183.4
"ken",1963,176.8
"ken",1964,171.2
"ken",1965,166.5
"ken",1966,162.4
"ken",1967,158.6
"ken",1968,155
"ken",1969,151.5
"ken",1970,147.9
"ken",1971,144.2
"ken",1972,140.5
"ken",1973,136.7
"ken",1974,132.7
"ken",1975,128.6
"ken",1976,124.4
"ken",1977,120.2
"ken",1978,116.1
"ken",1979,112.2
"ken",1980,108.5
"ken",1981,105.2
"ken",1982,102.3
"ken",1983,99.8
"ken",1984,97.7
"ken",1985,96.3
"ken",1986,95.5
"ken",1987,95.4
"ken",1988,95.9
"ken",1989,97
"ken",1990,98.7
"ken",1991,101
"ken",1992,103.7
"ken",1993,106.5
"ken",1994,109.2
"ken",1995,111.4
"ken",1996,112.9
"ken",1997,113.6
"ken",1998,113.3
"ken",1999,112.4
"ken",2000,110.9
"ken",2001,108.8
"ken",2002,106.5
"ken",2003,103.8
"ken",2004,101
"ken",2005,97.8
"ken",2006,94.1
"ken",2007,90.5
"ken",2008,86.4
"ken",2009,83.1
"ken",2010,79.5
"ken",2011,75.8
"ken",2012,73.1
"ken",2013,70.7
"rwa",1800,420
"rwa",1801,420
"rwa",1802,420
"rwa",1803,420
"rwa",1804,420
"rwa",1805,420
"rwa",1806,420
"rwa",1807,420
"rwa",1808,420
"rwa",1809,420
"rwa",1810,420
"rwa",1811,420
"rwa",1812,420
"rwa",1813,420
"rwa",1814,420
"rwa",1815,420
"rwa",1816,420
"rwa",1817,420
"rwa",1818,420
"rwa",1819,420
"rwa",1820,420
"rwa",1821,420
"rwa",1822,420
"rwa",1823,420
"rwa",1824,420
"rwa",1825,420
"rwa",1826,420
"rwa",1827,420
"rwa",1828,420
"rwa",1829,420
"rwa",1830,420
"rwa",1831,420
"rwa",1832,420
"rwa",1833,420
"rwa",1834,420
"rwa",1835,420
"rwa",1836,420
"rwa",1837,420
"rwa",1838,420
"rwa",1839,420
"rwa",1840,420
"rwa",1841,420
"rwa",1842,420
"rwa",1843,420
"rwa",1844,420
"rwa",1845,420
"rwa",1846,420
"rwa",1847,420
"rwa",1848,420
"rwa",1849,420
"rwa",1850,420
"rwa",1851,420
"rwa",1852,420
"rwa",1853,420
"rwa",1854,420
"rwa",1855,420
"rwa",1856,420
"rwa",1857,420
"rwa",1858,420
"rwa",1859,420
"rwa",1860,420
"rwa",1861,420
"rwa",1862,420
