"geo","time","democracy_score_use_as_color"
"ken",1984,-7
"ken",1985,-7
"ken",1986,-7
"ken",1987,-7
"ken",1988,-7
"ken",1989,-7
"ken",1990,-7
"ken",1991,-5
"ken",1992,-5
"ken",1993,-5
"ken",1994,-5
"ken",1995,-5
"ken",1996,-5
"ken",1997,-2
"ken",1998,-2
"ken",1999,-2
"ken",2000,-2
"ken",2001,-2
"ken",2002,8
"ken",2003,8
"ken",2004,8
"ken",2005,8
"ken",2006,8
"ken",2007,7
"ken",2008,7
"ken",2009,7
"ken",2010,8
"ken",2011,8
"rwa",1961,-5
"rwa",1962,-5
"rwa",1963,-5
"rwa",1964,-5
"rwa",1965,-5
"rwa",1966,-5
"rwa",1967,-5
"rwa",1968,-5
"rwa",1969,-5
"rwa",1970,-5
"rwa",1971,-5
"rwa",1972,-5
"rwa",1973,-7
"rwa",1974,-7
"rwa",1975,-7
"rwa",1976,-7
"rwa",1977,-7
"rwa",1978,-7
"rwa",1979,-7
"rwa",1980,-7
"rwa",1981,-7
"rwa",1982,-7
"rwa",1983,-7
"rwa",1984,-7
"rwa",1985,-7
"rwa",1986,-7
"rwa",1987,-7
"rwa",1988,-7
"rwa",1989,-7
"rwa",1990,-7
"rwa",1991,-7
"rwa",1992,-7
"rwa",1993,-7
"rwa",1994,-6
"rwa",1995,-6
"rwa",1996,-6
"rwa",1997,-6
"rwa",1998,-6
"rwa",1999,-6
"rwa",2000,-4
"rwa",2001,-4
"rwa",2002,-4
"rwa",2003,-3
"rwa",2004,-3
"rwa",2005,-3
"rwa",2006,-3
"rwa",2007,-3
"rwa",2008,-3
"rwa",2009,-3
"rwa",2010,-4
"rwa",2011,-4
"ssd",2011,0
"tza",1961,-6
"tza",1962,-6
"tza",1963,-6
"tza",1964,-6
"tza",1965,-6
"tza",1966,-6
"tza",1967,-6
"tza",1968,-6
"tza",1969,-6
"tza",1970,-6
"tza",1971,-6
"tza",1972,-6
"tza",1973,-6
"tza",1974,-6
"tza",1975,-6
"tza",1976,-6
"tza",1977,-6
"tza",1978,-6
"tza",1979,-6
"tza",1980,-6
"tza",1981,-6
"tza",1982,-6
"tza",1983,-6
"tza",1984,-6
"tza",1985,-6
"tza",1986,-6
"tza",1987,-6
"tza",1988,-6
"tza",1989,-6
"tza",1990,-6
"tza",1991,-6
"tza",1992,-5
"tza",1993,-5
"tza",1994,-5
"tza",1995,-1
"tza",1996,-1
"tza",1997,-1
"tza",1998,-1
"tza",1999,-1
"tza",2000,-1
"tza",2001,-1
"tza",2002,-1
"tza",2003,-1
"tza",2004,-1
"tza",2005,-1
"tza",2006,-1
"tza",2007,-1
"tza",2008,-1
"tza",2009,-1
"tza",2010,-1
"tza",2011,-1
"uga",1962,7
"uga",1963,7
"uga",1964,7
"uga",1965,7
"uga",1966,0
"uga",1967,-6
"uga",1968,-6
"uga",1969,-7
"uga",1970,-7
"uga",1971,-7
"uga",1972,-7
"uga",1973,-7
"uga",1974,-7
"uga",1975,-7
"uga",1976,-7
"uga",1977,-7
"uga",1978,-7
"uga",1979,-7
"uga",1980,3
"uga",1981,3
"uga",1982,3
"uga",1983,3
"uga",1984,3
"uga",1985,0
"uga",1986,-7
"uga",1987,-7
"uga",1988,-7
"uga",1989,-7
"uga",1990,-7
"uga",1991,-7
"uga",1992,-7
"uga",1993,-4
"uga",1994,-4
"uga",1995,-4
"uga",1996,-4
"uga",1997,-4
"uga",1998,-4
"uga",1999,-4
"uga",2000,-4
"uga",2001,-4
"uga",2002,-4
"uga",2003,-4
"uga",2004,-4
"uga",2005,-1
"uga",2006,-1
"uga",2007,-1
"uga",2008,-1
"uga",2009,-1
"uga",2010,-1
"uga",2011,-1
